0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
22500,22500,22500,22600,22600,24900,26000,26000,28600,28600,28600,28600,28600,28600,30500,30500,30500,30500,30800,30800,30800,30800,31000,34100,37600,37600,37600,38400,38400,38400,38400,42500,42500,42500,42700,42700,42700,42700,42700,42700,43500,43500,43500,43500,43700,43700,43700,43700,44800,44900,44900,44900,44900,44900,44900,44900,44900,44900,46100,46100,46100,47600,47600,47600,47600,47600,48300,48300,48300,48300,48300,48300,48300,48300,48500,48500,48500,48700,48700,48700,48700,49200,49500,49500,49500,49500,51200,51200,51200,51200,53700,53700,53700,53700,53700,53700,54500,54500,54500,54500,54500
22000,24800,24800,26400,29200,29200,29200,29200,29800,30800,31400,31400,32200,32200,32200,32500,34300,34500,37100,37100,37100,37100,37100,37100,37200,37200,37200,38300,39000,39000,39000,39400,39700,39700,40200,40200,40200,40900,43700,43700,43700,43700,44500,46600,46600,46600,46600,47100,47100,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,48100,48800,48800,48800,49000,49000,49100,49100,49100,49100,49100,49100,49400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,54000,54000,54000,54000,54000,54000
22200,22200,22600,22600,22600,26200,26200,26300,26300,26300,28500,29400,29400,29600,29600,33600,33600,33600,33600,33600,35600,35800,37500,37900,39800,39800,39800,39800,41600,41900,41900,46200,46200,46200,48300,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50200,50200,50200,50200,50200,51900,52000,52000,52000,52000,52000,52000,53800,53800,53800,53800,53900,53900,53900,53900,53900,54200,54200,54200,54200,54200,54200,54200,54200,54700,54700,54700,54700,54700,54700,54700,54700,55200,55200,55900,55900,55900,56300,56300,56300,56300,56300,56300,58500,58500,58500,58500
23900,23900,25700,25700,28300,28300,28300,28300,28300,28400,30500,30500,30500,30500,34300,34300,34800,34800,36000,36200,38400,38400,38400,39800,39800,40100,40100,44100,44100,44100,44100,44100,44100,44100,44500,44500,47700,47700,47700,47700,49000,49000,49000,49000,49000,49300,49300,49400,50100,51300,51300,51300,51300,51300,51300,53500,53500,53500,53500,53500,53500,53500,53500,53500,53700,53700,53700,54000,54000,54000,54000,54000,54000,54000,54000,54200,54200,54200,54200,54400,54400,54400,54400,54400,55000,55000,55000,55000,55000,55000,56800,56800,56800,56800,56800,56800,58700,58700,58700,58700,58700
23600,23600,26200,26200,26200,26200,26700,27300,28400,28400,28400,28400,28400,29500,29500,29500,29500,30500,32000,32900,32900,32900,32900,36500,36500,36500,36600,36700,36700,37200,37200,39000,39000,40700,40700,40700,40700,40700,40700,40700,40700,40700,41400,41400,41600,41600,42700,43500,43500,45200,45200,47700,47700,47700,47700,48200,48200,48200,48200,48300,48300,51900,51900,51900,51900,52000,52000,52000,52100,53000,53700,53700,54100,54100,55200,55200,55200,55200,55200,55200,55800,55800,56000,56000,56800,57200,59700,59700,59700,59700,59700,59700,60000,60000,61700,61700,61700,61700,62000,62000,62000
26200,26200,26200,29300,29900,31700,34200,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,40600,40700,40700,41200,43500,43500,45800,45800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,47900,47900,47900,47900,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,50200,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53600,53700,56100,56100,56100,56100,56100,56100,56100,56100,60100,60100,60100,60100,60100,60100,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500
22200,22900,22900,22900,22900,26300,26300,33100,33100,33100,35400,37400,37400,37400,37800,39600,39600,39600,39600,40600,40600,40600,42400,43200,43200,44700,45300,48700,48700,48700,48700,50700,50700,50700,50700,50700,53600,53600,53600,53600,53600,53600,53600,53600,55000,55000,55000,55800,55800,55800,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56500,56500,56500,56500,58500,58500,58500,58500,58500,58500,58500,59200,59500,59500,59500,59500,59500,59500,59500,59600,59800,59800,59800,59800,62100,62100,62100,62100,62100,62100,62100,62100,62100,62100,62100,62100
19700,26000,26000,26300,26500,27800,28700,28700,29200,29200,33400,33400,33400,33400,38500,41400,41400,41400,41700,41700,43600,44900,44900,44900,46400,46400,46400,46400,48500,49700,51600,51600,51600,51600,52500,52500,52500,52600,52600,53400,53400,53400,53400,53400,54000,54000,54300,54900,54900,54900,55400,55400,55400,55400,55400,55400,55500,56800,56800,56800,56800,56800,56800,56800,57700,57700,57700,57700,57700,57700,57700,57700,57700,57700,57700,58000,59500,59500,59500,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,61700,61700,61700,61700,61700,61700,61700,61700,61700,61900,62700,62700
19500,19500,20000,24000,24000,24700,24700,24700,28200,28200,28200,28200,28200,28800,29800,30300,33400,33400,35100,35100,35100,35900,37900,37900,37900,37900,38800,38800,42000,42000,42300,42700,42700,44700,44700,44700,44700,45800,45800,45800,46400,46400,46400,47200,47200,47300,50600,50600,53400,53400,53400,54800,54800,54900,54900,54900,54900,56000,56000,56000,56000,56000,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,57000,58400,58400,58400,58400,58400,58400,58400,58400,58700,58700,61200,61200,61200,61200,61200,61200,61200,61200,61200,61200,61200,62200,62200,62200,62200,62200,63600,63600
24100,24100,24100,24100,27900,28600,28600,28800,29400,30100,31400,31500,32100,32700,32700,32900,33600,33600,34200,34200,34700,36900,36900,36900,37600,38400,38500,41300,41700,41700,41700,41700,41700,41700,41700,41700,41700,42400,42400,42400,42400,42400,43000,43900,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,46700,46700,48400,48400,48400,48400,48400,48400,49300,49300,49300,49300,49300,49300,49300,50700,50700,50700,50700,50700,50700,50700,51200,51200,51200,51200,53100,53100,55400,55400,55400,55400,55400,55400,55400,55400,55700,56800,56800,56800,56800,56900,56900,56900,56900,57900
