0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
18900,20700,23700,26000,26000,27400,30000,31400,37100,37600,37800,43400,44700,45100,45300,46100,46400,48700,49500,49500,51600,51600,53900,54000,54900,54900,56000,56900,59200,59200,62200,62200,62200,62200,62200,62200,64000,64200,65800,65800,66000,66000,67200,67200,67400,67400,67400,67400,69300,69900,69900,69900,71100,71100,71100,71100,71100,71200,71500,71500,71500,71500,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72500,72500,72500,72500,72500,72600,72600,72600,74000,74000,74000,74000,74000,75400,75400,75400,75400,75400,75400,75400,75400,75400,75400,75400,75400,75600,75600,75600
18300,21900,21900,22100,25600,25600,25600,27400,29200,29500,29500,31300,31600,33000,34600,37800,38200,38200,42400,44600,44600,44600,44600,44600,45900,46800,46800,47100,47700,48500,48500,49700,51000,51300,51300,51900,51900,51900,51900,52300,52300,53300,53600,53600,54100,54100,54500,54500,54500,54700,56000,56000,56700,56700,57800,57800,57800,58000,58000,58500,58500,58500,60300,60300,60300,61900,61900,62200,63300,63300,63300,63300,63300,63300,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,66000,66000,66400,66400,66700,66700,66900,66900,66900,66900,66900,67200,67200,67200,67200,67200,67200
20600,22000,23900,23900,26700,27000,30200,30200,32200,32200,32600,34000,37200,37200,37200,38700,39400,41000,41000,42200,42200,44500,44900,46100,46300,46300,47600,49600,50000,54100,54100,56200,56800,58600,58600,58600,58900,59200,60800,60800,62400,62400,62400,62400,62700,64600,64600,66100,66100,66100,66100,66600,67100,67100,68300,68300,68700,68700,68700,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,70200,70200,70200,70200,70200,70200,70200,70200
21300,23900,24000,25000,27400,27800,29900,29900,29900,32700,34700,34700,34800,36500,37900,40200,43600,43600,43600,43600,45700,45700,45700,46500,47500,47500,49300,49300,50700,50700,52100,52100,52100,53800,53800,54100,55900,55900,56000,56000,56000,56100,57300,57300,58100,58100,58800,59400,59400,59400,60900,61100,61900,61900,64600,64600,64600,65900,65900,65900,65900,65900,65900,65900,66200,66200,66200,66200,66200,66200,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400
20300,22300,22900,25500,27900,29800,29800,29800,32100,33700,33700,34700,36100,36300,38800,39700,40800,41200,45600,45600,49400,49400,49900,53000,53000,53000,56000,56900,57100,57100,57100,57100,59300,59300,59300,59300,60300,60300,60300,60300,60300,60300,60300,60300,60300,62900,62900,62900,62900,62900,62900,62900,62900,62900,62900,62900,62900,62900,62900,62900,63000,63000,63000,63000,63000,63000,63200,63400,63400,63400,63400,63400,63400,63600,63600,63600,63600,63600,63600,63600,63600,64500,64500,64500,64500,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800
19900,20200,21600,25000,25100,26600,28500,28500,30400,32500,33300,33500,35200,36000,38200,39600,42400,44500,44500,44800,46800,47200,50000,52400,53300,55200,55200,57500,59000,59000,59000,60000,60000,60500,60900,61400,61400,61800,61800,62600,63100,63100,63400,64400,64400,64400,65700,65700,65700,66800,66800,66900,66900,67600,67600,67600,67600,67600,67700,67700,67700,67700,67700,67800,67900,67900,67900,67900,69500,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600
19800,24900,26400,27600,29500,34200,34700,36700,37800,39800,39800,41300,42500,43600,49200,49200,49200,49200,52000,52600,52600,52600,52800,56000,56000,56200,56200,56200,56200,56800,59100,60400,60400,60400,61500,61500,61500,62800,64000,64000,64000,66100,66100,67200,67200,67200,67200,67200,69300,69300,69300,70700,70700,70700,70700,70700,71700,71700,71700,72300,72300,72300,72300,72500,72500,72500,72600,73000,73000,73000,73000,73000,73000,73000,73000,73300,73300,73300,73300,73300,73300,73300,73300,73300,73300,73300,73300,73300,73300,73300,73300,73300,73300,73300,73400,73400,73400,73400,73400,73400,73400
23000,25500,25500,27300,27900,27900,31900,31900,32500,32500,35500,36300,37500,42400,42400,43900,43900,45400,45400,46700,46700,48700,48700,48700,48700,49800,50300,50400,50400,50400,52700,52700,52700,54400,55100,56000,56000,57400,58100,58100,59500,60500,61800,62800,62800,64200,64600,64600,64600,66400,66400,66400,66400,66400,66500,66500,66600,66600,66600,66600,66600,66600,66600,66600,67600,67600,67600,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67800,68000,68000,68000,68100,68600,68600,68600,68600,68600,68700,68700,68700,68700,68700,68700,68700,68700,68700,68700
25400,26800,27900,27900,27900,27900,29100,29500,29800,32800,33600,33600,34500,35600,36500,37200,39300,40400,41400,41800,44200,44700,45800,47800,48000,48000,50000,50900,50900,50900,51000,51500,51800,52900,52900,56600,56600,56600,57100,58700,61700,61700,61700,63800,63800,63800,63800,63800,63800,63800,64100,66900,66900,66900,67100,67500,67500,67500,68200,68200,68800,68800,68800,69500,69500,69800,69800,69800,72000,72000,72000,72000,72000,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100
20000,22800,22800,26100,26100,26200,33000,33000,33000,36100,36200,36200,36300,42400,42400,44100,44100,45800,47400,48100,48100,50000,50000,50000,53200,53200,55200,56300,58500,58500,58700,59500,60100,60100,60100,60400,61100,61100,61100,61100,61300,62300,63400,63800,63800,63800,63800,64400,64400,64400,64800,64800,64800,66000,66000,67300,67600,67600,67600,67600,67600,67600,67600,69800,69800,69800,69800,69800,69800,69800,69800,69800,69800,70600,70600,70600,70700,70700,71800,71800,71800,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900
