0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
19900,21600,21900,23100,25400,32100,32100,32100,32100,32100,32200,32200,33700,33900,34800,36600,36600,37800,37800,38900,38900,41300,41300,41300,41300,41500,41500,41500,42100,42100,42900,43100,43100,43100,43100,43700,44500,44500,44500,44500,44500,44500,47700,47700,47900,47900,48200,49700,49700,54100,54100,54100,54100,54100,54100,55200,55900,55900,55900,55900,56300,56300,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,57100,57100,57100,57100,57600,57600,57600,57600,58900,58900,58900,58900,58900,58900,58900,58900,58900,58900,58900,58900,59600,59600,59600,59600,59600
19400,20000,21700,22600,25800,25800,25800,25800,25800,28000,28000,28000,28000,30900,31900,32000,32700,33100,33100,33100,33100,35400,35400,35400,35900,38900,38900,38900,39900,40800,40800,42300,44200,44300,44300,44300,44300,44300,44300,44300,47300,47900,47900,47900,47900,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,53200,53200,53200,53200,54800,54800,54800,54800,54800,54800,54800,54900,54900,54900,54900,54900,55700,55700,56000,56000,56000,57200,59100,59100,59100,59100,59100,60800,60800,62300,62300,62300,62300,62300,62300,62300,62300,62300,62400,62400,62900,62900,62900,62900,62900,62900
21400,21400,21400,23400,26500,28100,28100,28100,28100,29100,30100,30100,30100,30100,30400,30400,31300,31300,31300,33500,33500,33500,39200,39200,39200,39200,39200,39200,39200,39200,40500,42600,42600,43200,43200,43200,44000,45600,46500,46500,46500,46500,46500,46600,48200,48200,48200,48200,48200,48200,48200,48800,50300,51100,53600,53600,53600,53600,53600,54000,55100,55100,55500,55500,55500,55500,55500,55500,55700,55700,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,58100,58100,58100,58100,58100,58100,58100,58100,58500,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
21800,23800,24700,24700,24700,25200,25600,25600,26200,26900,26900,26900,28600,29200,31600,31700,32100,35600,35600,35700,38600,38600,38600,38600,38600,40500,40500,40500,40500,40500,40500,40500,40500,40500,42900,42900,43000,43100,43200,43200,43200,43200,43200,43200,44000,46400,46500,46500,46500,47400,49900,49900,49900,49900,49900,49900,51600,53000,53000,53000,53000,53000,53000,55500,55500,55600,57600,57600,57600,57600,57600,57600,57600,59400,59400,59400,59400,59400,59400,59700,59700,59700,59700,60100,60100,60100,60100,60100,60100,60100,60100,60100,60200,60200,60200,60200,60200,60200,60200,60200,60200
22900,22900,22900,22900,22900,23300,26000,26000,26900,26900,27200,29100,29100,29100,29100,31000,31000,32100,33300,33300,34000,35500,36400,36400,36400,36400,37300,40100,41700,41700,41700,44500,44500,44500,44500,44500,44500,44500,44500,45800,45800,45800,45800,46200,46200,46200,47800,49000,49000,49000,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,50200,53500,53500,53500,53500,53500,53500,53500,53500,53500,53500,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54900,54900
18500,18500,18500,20000,21600,21600,23200,23200,23400,28400,28400,28400,28400,28400,29600,32800,33800,34000,34000,34000,34500,35900,36700,36700,36700,36700,37000,37000,40600,40600,40600,40600,41600,42600,42600,44200,45600,45600,46500,48000,48000,48600,48600,48600,48600,49900,49900,50100,52300,52300,52300,52300,53700,53700,53900,53900,53900,53900,53900,53900,53900,53900,54600,54600,54600,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59700,60000,60000,60000,60100,60100,60100,60100,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800
18300,20700,20700,20700,20700,20700,24300,24300,24300,28600,29000,30300,31000,31000,31600,32600,33100,34100,34700,37500,37500,37500,37500,41000,41000,41000,41000,42000,42700,42700,42700,42700,42800,43900,43900,43900,43900,43900,43900,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,48600,48600,48600,48600,48700,48700,48700,48800,48800,48800,48900,52400,52400,52400,52400,53800,53800,53800,53800,53800,53800,53800,53800,53800,53800,54200,54200,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100
18600,24000,24000,24000,24000,24000,24000,24100,24200,24200,24200,27200,27200,27200,27200,27200,27200,27200,27200,28900,29300,29300,29300,30000,32700,32700,32700,32700,34500,34500,35300,35400,35400,37900,37900,37900,37900,38700,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42300,42300,42300,43400,44100,44100,44100,44100,44100,44100,44100,44100,44100,46400,46400,46400,46400,46400,46400,46400,46400,47200,47700,47800,50400,50400,50400,50400,50400,50800,50800,51100,51700,51700,55200,55200,55900,55900,55900,55900,56900,57000,57000,57000,57200,57200,57200,57200,57200,57200,57200,57200
21300,21300,21400,21400,23200,23700,24000,24000,31000,31000,31000,31000,32400,32400,32400,33000,33400,33900,33900,35600,35600,35600,35600,35600,35600,35600,36900,37000,37900,37900,37900,37900,39100,39600,40900,40900,40900,40900,40900,41500,41500,41500,41500,41500,41500,42900,42900,43500,43500,43500,43500,43500,43500,43500,44400,44400,44400,44400,45100,45100,45100,45200,46400,46800,46800,46800,46800,47400,48900,48900,49600,51100,51100,51100,52300,52300,52300,52700,53600,53800,53800,54500,54500,54500,54900,54900,57900,57900,57900,57900,57900,57900,57900,57900,57900,57900,58400,58400,58400,58400,59300
23700,23700,23700,23700,23700,23700,23700,25800,26600,26600,26600,27600,29700,32500,32500,34600,34600,34900,34900,34900,35800,35800,35800,35800,36900,37100,37100,37800,38600,38600,38600,38600,39000,40200,43500,43500,45000,45000,46200,46200,46200,48400,48400,48400,48400,48400,48400,49700,49700,49700,49700,49700,50000,50000,50000,50000,50000,50000,51500,51500,51500,51700,51700,52800,52800,52800,52800,52800,56000,56000,56600,56600,57400,57400,58200,58200,58200,58200,58200,58200,58200,58200,58200,58200,58200,58200,58200,58200,58200,58200,59300,59300,59300,59300,59300,59300,59300,59300,59600,59600,59600
