0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
25000,25000,25000,25000,25000,26000,26000,26000,26200,26200,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28600,28600,28600,28600,28600,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
19700,23200,23200,23200,23200,23200,23200,23200,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23600,23700,24800,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,26100,26100,26100,26100,26100,26100,26100,26300,26300,27900,31900,31900,31900,31900,31900,31900,31900,31900,31900
27700,27700,27700,27700,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400
21500,21500,21500,21500,21500,21500,21500,21500,21500,21500,21500,21500,21500,22100,23000,23000,23000,23000,23000,23000,23000,23000,23100,23700,23700,23700,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800
21800,21800,21800,21800,21800,21800,22200,22200,22700,22900,23500,24600,24700,24700,25300,27200,27200,27200,27200,27200,27200,27200,27200,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,29300,29300,29300,29300,29300,29300,29300,29300,29300,29300,29300,29300,29300,29300,29300,29300,29300,29300,29300,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29900,29900,29900,31000,31000
19600,19900,19900,23000,23000,23000,23600,23900,24500,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600
23900,23900,23900,24600,24600,24600,24600,24600,25100,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700
19500,19500,20900,20900,20900,23800,23800,23800,23800,23800,23800,23800,25900,25900,25900,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800
21200,23800,23800,23800,23800,23800,23800,23800,23800,23800,23800,23800,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300,26300
18700,23900,23900,24400,24400,24700,24900,24900,24900,24900,24900,24900,24900,24900,24900,24900,24900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,30600,30600,30600
20800,21000,21000,22300,22300,23800,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600
