0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
25500,25500,26300,28100,28200,28400,30000,30000,31400,31900,33700,35100,36400,38600,42200,42200,44800,44800,47300,47300,48600,49600,53200,53200,53600,53600,53600,54500,55100,55100,56300,58300,58300,58300,58300,58300,59500,60900,60900,61500,61600,62900,62900,62900,63100,63100,65200,65200,65200,65200,65700,65700,66100,66100,66300,66400,66400,66500,67300,67300,67700,67700,67700,68000,68000,68100,69100,69100,69100,69100,70000,70000,70000,70000,70000,70800,70800,70800,70800,70800,71100,71100,71100,71100,71100,71100,71400,71400,71400,71400,71500,71500,71500,71500,71500,71500,71500,73500,73500,73500,73500
24400,26000,27000,28300,29500,32000,32000,32000,34800,34800,36200,37100,40500,40500,43000,43000,43800,46000,46100,48500,48500,50300,51700,52600,52600,52700,52700,52700,52700,52800,55800,57200,57200,57200,57200,57200,57200,57700,58200,59700,59700,59800,60700,61800,61800,62500,62500,62800,62800,62800,62800,63400,63400,63700,64000,64500,64500,65100,65100,65100,67400,67400,67400,67400,67600,67600,67700,67700,67700,67700,67800,67800,67800,67800,67800,67800,67800,67800,68100,68100,68100,68300,68300,68300,68300,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100
20300,24300,24300,24300,27600,28800,29900,35300,35300,35300,35300,37300,37300,43500,43500,45900,45900,45900,46000,46000,48000,48000,48100,48900,48900,50200,50300,51000,51000,52400,52400,52400,54000,54300,55600,56200,56200,56200,56200,57500,57600,57600,58000,62300,62300,62300,62500,63700,63700,63700,63700,63700,63900,63900,63900,64000,64000,64300,66800,66800,66900,66900,67300,67300,68100,68900,68900,69100,69700,69700,69700,69900,69900,70200,70200,70200,70800,70800,71100,71100,71100,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72600,72600,72600,72600,72600,72600,72600,72600
19800,25900,26900,30600,32600,34200,34200,36700,39500,39500,40000,40700,41400,43000,44400,44800,47000,48300,53000,53000,56300,56300,56300,57900,57900,57900,57900,57900,58800,58900,59800,59800,59800,59800,63200,64100,64100,64500,64500,64500,65300,65600,65600,65600,65600,65600,65600,65600,65600,65600,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800
20900,20900,22200,25500,25500,26200,28300,34800,34900,34900,34900,34900,34900,36100,38800,41600,41600,41600,45300,45300,45300,47100,47100,47100,48900,50900,54100,54100,54800,56100,56100,58700,58700,58700,58700,58700,58700,62300,62300,62600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66900,66900,66900,66900,68900,69900,69900,69900,69900,70100,70100,70900,70900,70900,71000,71100,71100,71100,71400,71400,71400,71400,71400,71400,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800
23300,23300,24200,25600,27600,27900,29200,34400,34900,40000,40100,40100,44700,44700,44700,44700,44900,47300,47600,49600,49600,50200,52500,52500,52900,53200,54100,55400,55400,56500,56600,58300,59200,59200,59400,59400,61600,61600,61600,61900,62600,62900,62900,66000,66000,66000,66000,66000,66000,66800,66800,66800,66800,68700,68700,68700,68700,69400,69400,70000,70000,70000,70700,70700,70700,71300,71300,71800,71800,71800,71800,71800,71800,71800,71800,71800,72000,72000,72000,72000,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72600,72600,72600,72600,72600
19900,22700,24300,25000,26200,26200,28000,28900,31900,34000,34000,35600,36900,39400,40200,42200,43300,43800,47000,48700,48700,52000,52200,53800,53800,53800,55200,55200,57400,57400,57400,57400,57600,59300,60900,60900,61200,62800,62800,62800,63300,63500,65300,65300,67800,68800,68800,68800,68800,68800,69700,69900,69900,69900,69900,70800,70800,70800,71800,71800,72100,72100,72100,72100,72100,72100,72100,72100,72100,72300,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72800
18700,21200,24400,28000,28800,29000,31400,34100,34100,39400,39400,39400,39500,43900,43900,48900,48900,49700,49700,50200,52900,52900,54400,55600,57300,57300,59000,59000,59000,59000,61200,61200,62500,62500,62500,63400,63600,64000,64700,68100,68100,68100,68200,68200,68200,68900,68900,68900,69500,69500,70400,70400,70400,70400,70400,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
19300,22600,30800,30800,30800,30800,31000,32200,32200,36600,36800,38400,39200,42700,43100,43800,43800,47200,47200,47200,50000,51200,51200,53200,53200,56200,56200,58000,58000,59800,59800,61600,61600,61600,62200,62900,62900,62900,62900,63200,63200,63200,63200,63200,63500,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,67100,67100,67100,67100,67100,67100,67100,67100,67100,67100,67100,67100,67100,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500
18100,24900,24900,26400,28700,30000,37000,37000,39800,40400,41100,41600,43000,43000,44700,46700,47000,47000,48600,49100,50300,50400,51400,51400,51700,53200,53600,54900,56200,56400,58300,58300,59200,59200,60100,60300,60300,60300,63700,63800,63800,63800,64000,64000,64000,64000,64000,64700,66000,66000,67500,68400,68400,71100,71100,71100,71100,71100,71100,71100,71100,71100,71100,71100,71100,71100,71100,71100,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300
