0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
23200,24900,30100,32300,38100,38100,39700,39700,41100,47800,47800,49100,51300,52200,52400,55800,55800,55800,55800,56000,56300,57900,58400,61700,61700,61900,62000,64200,64200,64200,64300,64300,65100,65100,65100,65100,65100,65100,65700,65700,65700,66900,67300,67300,69100,69100,69100,69500,69500,69500,69500,69700,69700,69700,69700,69700,69700,69700,69700,69700,70900,70900,70900,70900,70900,70900,70900,71800,71800,72400,72400,72400,72400,72400,72400,72400,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
22800,24700,33400,33400,33700,37100,38100,42100,43900,43900,45900,48700,48700,50800,53100,53300,55600,56900,57900,60300,60300,60600,62200,64800,64800,64800,64800,64900,64900,64900,64900,64900,66200,66200,66200,66200,67500,67500,67500,68400,68400,68400,69700,70600,70600,70600,70600,70600,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,71800,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500
21800,24900,26800,29400,31500,35800,38000,38800,39600,41000,41000,41000,41900,41900,42300,45300,45300,45300,45900,45900,47300,47300,48600,48600,49900,49900,49900,50300,51800,51800,51800,51800,52500,54300,54300,56300,56300,56400,56400,58000,58200,58200,58200,58200,58200,59600,60000,60000,61200,61200,61200,61200,61200,61300,61700,61700,61700,61900,61900,61900,62800,62800,63700,63700,63700,63700,63700,64100,64100,64100,64100,64100,66100,66100,66100,66100,66100,66100,66100,66100,66100,66100,66100,66100,66100,66200,66500,66500,66500,66500,66500,66500,66500,68300,68500,68500,68500,68500,68600,68600,68600
21400,23900,26900,32800,32800,34800,34800,35100,37500,38100,40600,40600,41800,44100,44100,44100,45500,46900,56300,59600,59600,59600,62800,62800,62800,62800,62800,64800,64800,64800,66300,66300,66300,67000,67000,67000,68200,68200,68200,68200,68200,68200,69700,69700,69800,73200,73200,73200,73200,73200,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800
20300,29100,30300,30300,35600,35600,35600,38400,42600,43400,44100,45100,47300,47300,47300,54100,55600,55600,56300,59100,59100,60400,62100,62100,63800,65500,65500,66000,66400,67100,67100,68000,68100,68200,68200,68200,69100,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,70100,70100,70100,70100,70100,70100,70100,71500,71500,71500,71500,71500,71500,71500,71500,71500,71500,71500,73200,73200,73200,73300,73500,73500,74200,74200,74200,74200,74200,74200,74400,74400,74400,74400,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76800,76800,76800,76800,76800,76800,76800,76800
19900,22000,29600,34000,36900,36900,39000,41800,44200,44200,44200,46100,46400,46400,47500,50500,52200,52200,52200,53500,54700,55500,55500,56700,57800,57800,58900,58900,58900,60500,61500,61500,62200,62200,62300,62900,62900,63300,63700,64800,65800,65800,65900,65900,66500,66500,66900,66900,66900,66900,67000,67600,67900,67900,67900,67900,67900,67900,70200,70200,70200,70300,70300,70300,72200,72200,72200,72200,72300,72300,72300,72300,73000,73000,73000,73000,73000,73000,73000,73000,73000,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200
26000,26100,30300,30300,31500,33600,43300,43300,43300,43300,43300,46400,46400,47500,48500,48500,50100,50100,52800,52800,53600,53600,53900,53900,55000,55100,56300,57000,58500,58500,58500,58500,59300,61000,61000,61000,61000,62400,62400,62400,63400,63400,63400,63400,63400,63400,63400,63500,63500,63500,64700,64700,66300,66300,66300,66300,66300,66300,66300,66300,66700,66900,66900,67600,68600,68600,68600,68600,68600,70000,70000,70000,70400,71100,71100,71100,71100,71100,71100,71400,71500,71500,71500,71500,71500,71500,71500,71500,71500,71500,71500,71500,71500,71700,71700,71700,71700,71700,71700,71700,71700
21400,24200,29200,32800,36300,38200,39400,44100,44100,44100,50200,50200,50700,52700,52700,52700,53100,53200,55200,55500,56400,56400,57700,57700,59100,59100,62000,63700,63700,65100,65100,66500,66500,66500,66500,66500,67700,68200,68200,68200,68200,68300,68300,68300,68300,69600,69600,69600,69600,69700,69700,69700,69700,69700,69700,69700,69700,70000,70900,70900,70900,70900,70900,70900,70900,70900,71200,71200,71200,71200,71200,71200,71200,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400
21300,25700,29500,31800,33000,36200,36200,36300,38200,41100,42600,44800,44800,44800,46300,46300,47200,48200,48300,49100,49200,49300,49300,49600,49600,50100,50100,50100,50100,50300,50800,52000,52000,52200,52800,52800,52800,54000,54000,54000,54000,55600,55600,55600,55600,55800,57100,57100,57100,57100,57100,57100,58300,58300,59400,59400,59400,59400,59400,61700,61700,61700,61700,61700,61700,61700,62500,62500,62500,62500,62500,63600,63600,63600,63600,63600,63600,64100,64100,65200,65200,65200,65200,65200,65200,65200,66300,67100,67200,67200,67200,68300,68300,69100,69100,69100,69400,69400,69400,69400,69400
25200,27300,29800,32600,42200,42200,42200,44700,44700,44700,47400,47400,47400,51600,53000,54700,56600,56600,56600,56600,56600,56700,56900,56900,56900,56900,56900,56900,57700,59000,59000,59700,59700,59700,59800,59800,60200,60200,60300,60300,60300,61000,61000,62700,62700,62700,62700,62700,62700,62700,62700,63700,63700,63700,63700,63700,63700,64400,64400,64400,64600,64600,64600,64600,65100,65100,65100,65100,65100,67200,67200,67200,67200,67200,67200,67900,67900,67900,67900,67900,67900,67900,67900,67900,67900,67900,67900,67900,67900,67900,68100,68600,68800,68800,68800,68800,68800,68800,68800,68900,68900
