0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
31400,31400,31400,31400,31400,31400,31400,31400,32000,33000,35500,35500,36300,38800,39000,41300,41300,41300,41300,42000,42000,44400,46700,46700,46700,51000,51000,52600,52600,52600,52600,53300,53300,55100,55500,55500,59900,59900,59900,59900,59900,59900,59900,61900,61900,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,71100,71100,71100,71100,71100,71100,71100,71100,71100,71200,71200,71200,71200,71200,71200,71300,71300,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
19900,23400,23700,29600,29600,30800,30800,31700,34600,36700,37200,37300,39500,39500,42400,42400,42400,42400,42400,42400,42400,46800,46800,46900,48900,48900,48900,48900,49500,49500,51500,51600,51600,51600,52500,52500,52500,52500,52500,53800,53800,53800,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55200,55200,56300,56300,56300,56300,56300,56300,56300,56300,56300,57400,57400,57400,57400,57400,57400,57400,57700,57700,57700,57700,58100,58100,58100,58100,58100,58100,58100
21700,24100,25100,25200,25700,29400,33800,33800,33800,38000,41100,41100,41100,41100,41100,41500,44500,44900,44900,44900,46300,46300,47200,49200,52200,52200,52200,52500,52500,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,57700,57700,60000,60000,60000,60000,61800,61800,61800,61800,61800,61800,62500,64200,64200,64200,64200,65200,66800,66800,67300,67300,67400,67600,67600,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69500,69500,69500,69500,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,71300
20500,21100,23900,25800,27200,27200,29600,33000,33400,33400,35000,35000,35000,35600,35600,37200,40900,40900,40900,44500,44500,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,49800,49800,49800,49800,51600,51600,52700,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,53200,53200,53200,53800,53800,53800,53800,56700,56800,56800,58700,58700,58700,58700,58700,59500,62200,62200,62600,62600,62800,62800,62800,63100,64500,65500,65500,65500,65500,65500,65500,65500,65500,65500,65500,65500,65500,65500,65500,65500,65500,65500,67200,67200,67200,67200,67200,67200
22700,22700,25500,25500,26100,28200,29800,31100,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34800,37400,38500,39400,39400,40400,40700,40700,46800,46800,46800,46800,47100,47800,48300,48300,48300,50100,50100,50100,50100,50100,50100,50100,52100,52400,52400,52400,54100,54100,54500,54500,55600,55600,55600,55800,57000,57000,57000,57000,57000,60400,60400,60400,60400,62100,62100,62100,62100,62100,62100,62400,62400,62400,62400,62400,62400,62400,62400,62400,62400,62400,62400,63800,63800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65900,65900,65900
19100,26900,26900,29000,30000,30300,30300,30300,32000,32200,37400,37400,37400,39600,39600,40600,40600,40600,41100,43000,45100,45100,45100,45900,45900,49000,49000,49000,49000,49000,52200,52200,52200,52200,52500,53800,53800,53800,57200,57200,57200,57200,57200,58200,58200,58200,58200,58200,58800,59900,64100,64100,64100,64100,64100,64100,64100,64100,64100,64300,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66400,66400,66400,66400,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66600,66600,66600
27500,27500,27500,27500,27500,28600,28600,29700,30700,31100,33000,33000,33000,33000,34200,34200,34800,36100,36100,39000,39000,39000,39000,42900,44200,44200,44200,44200,44200,45900,45900,47800,47800,47900,47900,47900,49700,52500,52500,52500,52500,52500,52500,52500,52500,52500,52500,52500,52500,52500,52500,52500,52700,53600,53600,53600,54400,56100,56400,56400,57200,57200,60100,60800,61200,61200,61200,61200,61500,61500,61500,62100,65000,65000,65000,65500,65500,65500,65500,65500,65500,65500,65500,65900,65900,65900,65900,65900,65900,65900,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400
20900,24800,27100,28100,31700,31700,34200,36100,38300,38300,38500,38500,40000,40000,40000,40000,40500,46800,47100,47100,47800,50500,50800,50800,50800,50800,50800,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,57900,57900,57900,57900,57900,57900,57900,57900,57900,57900,57900,57900,57900,59600,59600,60000,60000,60900,60900,62900,62900,62900,62900,62900,62900,65900,65900,65900,69200,69200,69200,69200,69200,69200,69200,69200,69200,69900,69900,69900,69900,69900,70200,70200,70200,70200,70300,70300,70300,70300,70300,70300,70300,70300,70300,70300
20500,20500,23800,26700,27900,27900,31900,33000,35400,35400,35400,35400,37400,37400,39800,39800,39800,39800,39800,46300,46300,46300,46400,46400,46500,46500,48600,48600,48600,48600,51500,51500,51500,51500,54600,54600,55500,55500,55500,57600,58700,58700,58700,58700,58700,58700,60400,60400,61500,61500,62600,64000,64500,64500,64500,64500,64500,64500,64500,64500,64500,66600,66600,66600,66600,66600,66600,67800,67800,68700,68700,68700,68700,69100,69100,69100,69100,69100,69100,69100,69400,69400,69400,69400,69400,70300,71600,71600,71600,71600,71600,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100
24300,24500,24500,28000,28600,30600,31400,33100,34900,36100,39400,39400,39400,43000,44500,44500,44500,45800,45800,45800,45800,45800,45800,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46500,46500,46500,46600,46600,46600,46600,46600,46600,46600,46800,49600,49600,49600,49600,49600,49600,49600,49600,49600,51200,51200,53500,53500,55200,55200,57800,57800,57800,57800,57800,57800,59100,59100,59100,59100,59100,59100,59600,60600,60600,60600,60600,61700,61700,62400,62400,62400,62400,62400,62400,62400,62400,62900,62900,62900,62900,62900,65100,65100,66900
