0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
21700,21700,24800,26000,28400,28400,31300,34000,35100,35500,38100,38100,38400,39000,40900,40900,42400,43000,43000,43800,44700,44700,44700,48000,48000,48000,48000,48000,48900,48900,48900,49000,49000,49000,49000,49100,50000,50100,50100,50100,50100,50100,51400,51400,51400,51400,52700,52700,52700,52700,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,54300,54300,54300,54300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55900,55900,55900,55900,56100,56100,56100,56100,57800,57800,58900,58900,58900,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59400,59400,59400,59400
19300,19300,20500,25000,25000,26200,27200,28700,30200,31500,32300,34600,39000,40200,40200,40200,41300,43800,44400,44400,44400,44400,44400,44500,45900,45900,46300,48600,49200,49200,49200,49200,49200,49200,49200,50200,50200,50200,50200,50200,50200,50200,50200,50300,51000,51000,51000,51900,51900,51900,51900,51900,52800,52800,52800,52800,52800,52800,52800,52800,52800,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,53900,53900,53900,53900,53900,55900,55900,55900,55900,55900,55900,55900,55900,55900,57900,57900,57900,57900,57900,57900,58200,58700,58700,58700,58700,58700,58700,58700,58700,58700
20800,21200,23300,25000,25000,27100,27100,27100,31900,31900,31900,33700,34300,34800,34900,36900,37400,38000,38500,39300,41000,41000,43000,43000,43300,43700,43700,43900,43900,43900,44300,44700,45100,45100,45100,45100,45100,45900,46600,46600,47200,48000,48000,48700,48700,48700,49500,50200,50200,50200,50200,50200,50200,51200,51200,51700,51700,51800,51800,52200,52200,52200,52200,53800,53800,53800,53800,53800,53800,53900,53900,53900,53900,54500,54500,54800,54800,54800,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,55100
18400,25400,25400,28500,29700,29900,30700,30700,31900,32700,33200,35300,36200,36200,36200,37500,37900,37900,39200,40900,40900,42200,42200,42500,45200,45600,45600,47500,47500,47500,48200,48600,48600,50700,51300,51300,51300,51300,51300,51300,51500,51500,51500,51500,51500,51500,51500,52300,52300,52300,52300,52300,52300,52300,52300,52300,52400,53000,53200,53200,53200,53200,54400,54400,54400,55000,55000,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,56000,56000,56000,56000,56000,56000,56000,56300,56300,59200,59200,59200,59200,59200,59200,59200,59200,59200,59200,59200,59200,59200
18800,21500,22600,23800,23800,24700,25700,27400,27400,30400,30400,30400,32400,33600,33600,35200,36700,38500,39000,41400,41400,41400,41800,45500,45500,45500,46700,47600,48500,48500,52300,52300,52300,52300,52400,52400,53300,54700,54700,56200,56200,56200,56200,57700,57700,57700,60600,62100,62100,62100,62100,62100,62100,62100,62100,62100,62100,62100,62100,62100,62100,62100,62100,62300,62300,62300,62300,62300,62300,63600,63600,63600,64000,64000,64900,64900,66000,66000,66000,66000,66000,66100,66100,66100,66100,66100,66100,66200,66200,66200,66200,66200,66200,66200,66200,66200,66700,66700,66700,66700,67800
21500,21500,23400,28500,28800,30100,30100,33100,33800,36700,40400,40400,40400,41100,41400,42800,42800,42800,44100,44700,44700,44700,45600,46500,46500,46500,46700,46800,46800,46800,46800,47900,47900,47900,47900,47900,47900,49200,49200,49200,49200,49200,51900,52000,52000,52000,52100,52100,52400,53700,53700,53700,55200,55200,55200,55200,55400,55400,55400,55400,55400,56400,57600,57600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600,58600
21200,21200,23100,24700,26500,26500,29200,33600,33600,33600,33600,34700,35000,35200,35900,36100,41000,41600,43100,43500,45100,45100,45100,45100,45400,45400,46400,47800,47800,47800,48800,48900,48900,51000,51000,51000,51100,51100,51100,51100,52500,52500,52500,52500,52500,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,55300,55300,55300,55300,55300,55400,55400,55400,55400,55400,55600
20400,20400,21200,22900,25500,25700,27100,27500,28800,31300,33500,35600,36300,37400,39000,43600,46100,48000,48000,48000,49500,49500,49500,51000,51000,51000,51400,51400,52800,52800,52800,53200,53900,53900,53900,53900,54300,54300,54300,54300,54300,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,56700,56700,56700,56700,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800
22000,22900,22900,24800,25200,28000,30400,30800,33800,35500,36200,37500,37700,39300,40400,41900,42700,45500,45500,45500,46300,46300,46300,46300,47000,47500,47500,48200,48200,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49500,49500,49800,50600,50600,50600,50600,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,51700,51700,53900,53900,55200,55200,55200,55200,55200,55900,55900,55900,55900,56200,56200,58100,58100,58500,58500,58500,58500,58700,58700,58700,59100,59100,59100,59200,59200,59200,59200,59200,59300,59300,60300,60300,60300,60300,60300,60300
26400,26400,28100,28100,31100,31300,32700,32700,34500,34500,34600,35600,36900,36900,38200,38700,38800,39200,40800,41100,41200,41400,43300,44400,48300,48300,48300,48300,48800,49700,51100,51900,53300,53300,53300,53300,53300,53400,53500,55300,55300,55400,55400,55400,55400,55400,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55700,55700,55700,55700,55700,55700,55700,57500,57500,57500,57500,57500,57500,57500,57500,58500,58500,58500,58600,58600,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400
