0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
19600,20600,20600,23500,26400,26400,30300,34500,34500,34500,34700,37400,37400,37600,38800,38800,41800,41800,41900,41900,44000,47600,47600,47600,47600,48800,49800,49800,49800,49800,49800,50300,50300,51000,51000,51500,51500,51500,51500,51500,51600,52000,52000,52000,52000,53200,53200,53200,53600,53600,53600,53600,53600,53600,53600,53600,53600,53600,53600,53600,53600,53600,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,55400,55400,55400,55400,55400,55400,55400,55400,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500,55500
20500,21900,21900,23600,27400,27800,30500,30500,30500,31900,33000,34600,34900,36700,36700,40300,40300,40300,40300,41900,41900,41900,43700,43800,47700,47700,47700,48200,48400,48400,48500,49900,50000,51000,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,53100,53100,53100,53100,53400,53400,53400,53400,54200,54200,54200,54200,54500,54500,54500,54500,54500,54500,54500,54500,54500,55000,55000,55000,55000,55000,55000,55300,55300,55400,55400,55400,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,56800,56800,56800,56800,56800,56800,56800,56800,56800
23100,23100,25500,25500,25600,26200,27500,31500,31500,33000,33800,36100,36100,38100,38700,39300,39700,39700,41600,42100,42100,44600,44600,45600,45600,45900,46100,46100,47900,47900,49100,49100,49500,49500,49500,50200,50200,50200,50200,50700,50700,50700,50700,50700,51100,51100,51100,51700,52100,52100,52100,52100,52100,52100,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54300,54300,54300,54300,56400,56400,56400,56400,56400,56400,56400,56400,56400,56700,56700,56700,56700,57700,57700,57700,59000,59000,59000,59000,59000,59700,59700,59700,59700,59700,59700,59700
23600,25600,25600,27100,29300,29300,31200,32700,32700,33700,33700,33700,38200,40200,41600,42600,43200,43200,43300,43400,44000,44100,44200,45400,45400,45400,46800,47000,47300,48900,48900,50100,50400,50400,51200,51600,51600,51800,52700,52700,52700,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,54700,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800
20900,24600,24600,24600,26700,28200,31800,32500,32500,33900,38400,39800,41300,41300,43300,43300,46100,46100,46100,46100,46100,46100,47400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,50100,50100,50300,50300,51300,51300,51300,51300,51300,52900,53300,53300,54900,54900,54900,54900,54900,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,57000,57000,57000,57000
19700,20200,22900,25700,29200,29200,29900,33900,34000,35500,37500,37500,38000,39800,40700,41400,41400,43500,43500,44800,44800,45000,45000,45000,46300,46300,46300,46300,47400,47400,47600,47600,47600,47700,47700,49100,49100,49100,49100,49100,49300,49300,49300,49300,49300,49300,49300,49300,50200,50200,50200,50200,50700,50700,50700,50700,50700,50700,52400,53400,53400,53400,53400,53400,53400,53400,53400,53400,53400,53400,53400,53400,53400,53400,53400,53600,53600,53600,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700
20100,20100,22100,27100,29400,29600,29600,36000,36000,36000,36000,36000,36800,36800,36900,36900,36900,36900,37100,37100,37400,39900,39900,39900,44000,44000,44000,44000,46100,46100,46100,46100,46200,46200,46200,46300,46300,46300,46300,46400,46400,46400,47600,47600,47700,47700,47700,47700,48900,48900,48900,48900,48900,48900,48900,48900,49000,49000,49200,49200,50200,50200,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50700,50700,50700,50900,50900,50900,50900,50900,53800
25800,25800,27300,27800,29000,29000,31100,32500,32500,35300,35300,35500,37500,37500,39500,40900,44100,44100,44100,45300,49800,50200,50400,51500,51500,51500,51500,51500,51500,51500,51500,52300,52300,52300,52300,53400,53400,53400,53500,53500,53500,53500,53500,53500,53500,53500,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56700,56700,56700,56700,56700,56700,56700,56700,56700,56800,56800,56800,56800,56800,56800,56800,58000,58000,58000,58100,58100,58100,58100,58100,58100,58300,58300,58300,58300,58300,58300,58300,58300,58400,58400,58400,58800,58800,59000,59000,59000,61000,61000
22500,22500,24700,25000,25900,27100,28700,31400,31400,32000,32300,32300,34700,34700,34900,35100,35600,37000,37100,39400,39400,40500,41500,41500,42500,43600,43800,43800,43800,44000,44000,44200,44300,44300,44300,44500,46300,46300,46300,47000,47000,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47400,47400,47400,47400,47700,47700,48200,48200,48200,49800,49800,49800,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100
22900,22900,23800,24900,26900,28300,32200,32200,33300,37800,40000,40000,40000,40000,41400,42000,44100,44500,44500,47900,48000,50200,50200,50200,51100,52000,52000,52200,53500,53500,53500,53500,54500,54500,57800,57800,57800,57800,57800,57800,57800,57800,57800,57800,57800,57800,57800,57800,57800,57800,57800,57800,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300
