0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
19700,22900,22900,22900,24100,24100,26400,26400,28200,28500,32300,32300,36700,36700,39600,39600,43100,43100,43100,43100,44500,45500,45500,47600,47600,48000,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50600,50600,50600,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53300,53300,55300,55300,55300
20900,21400,23200,24300,27700,28400,28400,32100,32100,32100,32400,34900,35200,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,39000,39000,39200,39800,40300,43200,44500,45000,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000
21200,23400,26100,26100,26100,26100,26900,29100,29100,29100,30100,30100,31200,33800,36400,36800,37400,37400,37900,40700,40700,41700,43400,43400,44500,44500,44600,46600,46600,47700,47700,47700,48300,50500,50500,50500,50500,50500,50500,50500,50800,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52300,52300,52300,52300,52300,52300,52300,52300,53500
21000,22700,22700,24600,26000,27900,29500,32900,32900,32900,36700,36700,39600,39600,39600,39600,40000,40000,40000,40000,40000,40000,40000,40000,40000,42300,42300,42300,42300,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,43900,43900,43900,43900,43900,44100,44100,44600,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,46100,46100,46100,46900,46900,46900,46900,46900,46900,46900,46900,46900,47700,47700,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,48000,48000,48000
21200,26400,26400,26400,30600,30600,30600,31600,32000,32800,33300,35000,35700,35800,37200,37200,37900,37900,40400,40500,40500,40500,40500,40500,40500,40500,40500,40500,40600,40600,40600,40600,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,43200,43200,43200,43200,43200,44400,44900,44900,44900,44900,45700,45700,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,48200,48200,48200,48200,48200
28900,28900,28900,28900,28900,28900,28900,28900,30800,35000,37200,37200,37200,37200,41700,41700,42000,42000,42000,44000,44000,45700,46700,47000,47000,47000,47600,47900,47900,47900,48700,48700,48700,49700,49700,49700,49700,49700,49700,49700,49700,49900,49900,49900,49900,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50400,50400,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500
19700,22300,22300,25600,25600,29700,29700,30800,32000,32000,36900,36900,36900,37600,38300,39600,39600,42400,42400,43600,43600,43600,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,46000,46000,46600,46600,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,47500,47700,47700,47700,47700,47700,47700,47700,47700,48100,52300,52300,52300,52300,52300,52300,52300,52300,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
22800,22800,22800,25700,25700,30700,30700,30700,30700,30700,32300,32400,32400,35400,36700,38700,38700,41300,41300,41500,41500,41800,42000,42000,44700,45400,45400,51500,51500,51700,51700,52200,52200,52200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54600,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700
21600,21600,26300,26300,31000,31000,31000,35200,35200,35700,37600,37600,39200,39200,39200,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,41300,41300,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200
23000,23000,23000,25600,25600,25600,25600,33000,33000,33000,34100,34100,34100,36700,36700,42400,42400,44800,44800,44900,44900,45000,46400,46400,46400,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,48100,50500,50500,50500,50500,50500,50500,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52500,52500,52500,52500,52500,52500,52500,52500
