0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
22500,24500,27300,31700,31700,37300,37300,37300,42000,42100,43000,44300,45000,49800,49800,49800,51000,51000,51000,51000,53000,53000,53400,55000,55000,55600,55600,57400,57400,58300,58400,58400,58400,58400,62100,62100,62100,62100,65200,65200,65200,65200,65200,65200,65200,65200,65200,65500,66000,66000,66000,68200,68200,68300,68300,68300,68300,68300,68300,68400,68700,68700,69600,69600,69600,69600,69600,69600,69600,69600,69800,69800,69800,69800,69800,69800,69800,69800,69800,69800,70000,70000,70000,70100,70100,70100,70100,70300,70300,70300,70300,70300,70300,70300,70300,70300,70300,70300,70300,70300,70300
20000,24800,27500,29800,32100,35200,35200,36900,37800,38000,39400,41300,43600,43600,44600,45300,46700,48500,48500,48800,50400,52300,52300,52500,52500,53700,53700,53700,53800,53800,53800,53800,55700,55900,55900,56900,56900,57100,58100,59100,59200,59200,60400,60400,60400,60400,60400,60400,60400,61200,61200,63600,63600,63600,63600,63600,63600,63600,64500,64500,64500,64500,66100,66100,66100,66100,66100,66100,66100,66100,66100,66200,66200,66200,66500,66500,66500,66500,66500,66500,66500,66600,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66900,66900,66900,66900,66900,66900,66900,66900,66900
26200,27700,33800,35700,35700,38100,38500,38500,38500,39600,40200,40700,43100,43100,43100,45300,45300,45500,47000,47800,49000,49000,51800,51800,51800,51800,53400,56000,56000,56000,56100,57000,58500,58500,58500,58500,58500,58500,59500,59500,59500,59500,59500,60800,60800,60800,61000,61000,61100,61100,62400,62400,62500,62500,62500,62500,62600,62600,62600,63700,63700,63700,63800,64100,64100,64600,66500,66500,66500,66500,67100,67100,67100,67200,67200,67200,67200,67200,67200,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900
23500,25300,29600,31500,34800,35200,41900,44800,44800,45200,48700,51400,51400,51800,51800,52300,52300,55100,55100,55800,56000,56000,58100,58100,58300,61000,61000,61000,61000,62700,62700,62700,62700,63600,63700,64300,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500,67000,67000,67000,67000,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67600,67600,67600,67600,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800
19500,20500,25900,30800,32800,36200,36200,41600,41600,45300,45300,45300,45600,46400,47400,53300,53300,53300,53300,54000,54000,54600,54600,55200,55200,55500,55500,55700,58300,58300,58300,58600,58700,59600,59600,59700,59700,59700,59700,59700,59700,59700,59700,59700,59700,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61900,61900,61900,61900,61900,61900,62200,62200,62200,62200,62200,62200,62200,62200,62500,62500,62500,64600,64600,64700,64700,64900
21000,25100,27800,34600,35600,35600,36100,39000,39000,39600,41900,46300,46300,46300,46300,46300,46400,46400,48000,48000,48400,48900,49300,50200,50200,50300,52000,52000,52700,54700,54700,55400,55400,56400,56400,56500,57100,57200,58100,58100,58800,59000,59800,60100,60100,61100,61100,61100,61100,61400,62200,62200,62200,62200,62200,62200,62200,62300,62800,62800,64500,64500,64500,65300,65300,65300,65300,65300,65300,65300,65300,65300,65400,65400,65400,65400,65400,65400,65400,66300,66300,66300,66300,66300,66300,66300,66300,67400,67400,67400,67600,67600,67600,67600,67600,67600,67800,67800,68300,68300,68300
19900,26500,28600,33700,34100,35900,40600,40900,43500,43500,43500,45900,46300,49700,50000,51900,52600,52800,53000,53100,56000,57400,57400,60600,60600,60600,60800,60800,60800,63300,63300,63300,63700,64400,64400,64600,64600,64700,64700,65300,65300,66300,66300,66300,66300,66300,66300,66300,66300,66400,66600,66600,66600,66600,66600,66600,66700,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100
22600,27700,32600,35600,38200,40100,40100,42000,42000,42000,49300,49300,49300,49500,51500,51600,51600,54200,55800,55900,55900,55900,58100,58500,59200,59400,59400,60400,60400,60400,62200,62200,62200,62200,62800,62800,62800,62800,62800,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63700,64300,65200,65200,65200,65200,65600,65700,65700,65700,65700,66700,66700,66700,66700,66700,66700,67100,67100,67100,67100,67100,67100,67100,67100,67300,67300,67300,67300,67300,67400,67400,67400,67400,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67600,67600,67600,67600,67600,67600
22000,22200,25500,28000,29700,32700,36300,37400,37800,40100,44500,45800,45800,45900,48700,49300,49300,49500,52300,52500,53300,54800,54800,55700,55800,57000,57000,57000,64200,65400,65400,65400,65700,67800,67800,67800,67800,67800,67800,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100
21200,26600,28300,30000,32600,33300,34000,36000,37600,39800,41200,41400,41500,42000,42000,43800,45700,45700,46200,46300,48800,48800,50700,52100,52100,53200,53200,54800,55100,55100,56600,56600,56600,56600,56600,56600,56600,57000,58300,58300,58300,58300,59100,59100,59100,61300,61300,61300,61300,61300,61300,61300,61800,61800,62100,62100,64300,64300,64300,64300,64300,64300,65800,65800,65800,65800,65800,65800,65900,65900,65900,65900,65900,65900,65900,65900,65900,66200,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67400,67400,67400,67400,67400,67400,67400,68100,68100,68100,68200,68200,68200
