0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
20500,28700,28700,32500,34300,36300,38600,37500,39100,45500,45500,43300,44100,45000,45000,49900,49900,50600,50600,49900,50700,50900,50900,51100,51100,52200,51600,52500,53700,53000,52800,53600,54200,54700,55400,56200,56200,56200,56200,58600,59700,58900,58800,58800,59100,59100,59200,59300,59300,60800,60400,60000,60000,60000,60500,60500,60600,62000,62700,62700,64200,62800,62800,64100,64100,64300,64300,64600,64300,64300,64300,64300,64500,65600,65600,65600,65600,66900,66900,66900,66900,70700,70700,70700,68100,70700,70800,70700,70800,70800,70900,70900,70900,70900,71000,71000,71000,71000,71000,71000,71000
20200,23000,29000,28500,39000,39000,39700,39500,42400,43500,43000,44100,44500,44500,44500,45800,48000,48000,48700,51000,51000,49700,50700,51400,55200,56300,62800,62800,62800,62800,65000,63000,64500,66400,66500,66500,67000,67000,67000,67000,67000,67000,67000,67000,67000,67100,67100,67100,67300,67300,69200,69200,69200,69200,69300,69300,69300,69300,69300,69300,69400,69400,69400,69400,69900,69900,69900,69900,69900,69900,69900,69900,70400,71000,71000,69900,69900,70100,69900,69900,70500,70600,70600,71700,71700,71700,71800,73200,73200,73200,73300,74600,74600,73800,74300,73800,74300,73800,73800,73800,73800
25500,28300,36300,38200,38900,38200,41400,41400,45200,47200,50600,49200,48900,49700,52100,52100,52100,53400,55400,55400,55300,55600,56800,56800,57700,58600,58600,58600,58800,59500,59500,59500,59600,59600,59800,59900,61100,61200,61200,61300,61300,61600,61600,61500,61700,62600,63200,63200,64700,64700,64700,64200,64200,64200,64200,65400,65400,65400,65400,66000,66000,66200,66000,66000,66000,66000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100
22300,23700,33000,33000,36600,37100,38700,37100,39700,41200,41800,43900,44300,44800,46600,48400,48400,48700,49400,49500,49900,50100,50500,51700,52300,52300,52800,52800,52800,53300,55300,56500,56700,57900,57600,57800,59100,59100,62500,62500,62800,62800,63600,64900,63600,63600,65100,65100,65100,65100,65800,65200,65200,65300,66100,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67800,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,68400,68400,68400,68400,68400,68400,68600,68800
19900,28000,28000,31800,33600,41700,47800,49800,46900,51400,50500,52500,56300,52700,56900,56900,58800,58800,58800,60600,60600,60600,60600,62400,64200,63700,64300,64300,65000,65000,65600,66500,68000,67000,67300,68100,68100,68900,68900,68900,69700,68900,68900,69100,69100,69100,69100,70900,70900,70900,70900,70900,70900,70900,70900,71100,71100,72600,72600,71100,72600,72600,72600,72600,72800,72800,72800,72800,73000,73000,73000,73000,73700,73700,73800,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73900,73900,73900,73900,73900,73900
22800,22100,25300,28100,31900,32400,35900,42200,42000,44800,46300,47300,49100,50800,52100,53600,54700,53800,53900,53900,56300,56300,56300,55700,58400,59000,59000,61400,62100,64300,62700,64700,67000,65700,64400,64400,66900,66900,66900,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68700,68700,68700,68700,68800,68800,68900,68900,69000,69700,69700,71800,71800,71800,71800,73800,73800,71900,71800,71800,71800,71800,71800,71800,72900,71800,71800,71800,73600,73600,73600,73600,73600,73600,73600,73800,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600
23500,25700,27000,32800,34200,36200,40400,43700,44500,46300,47800,49200,49200,51200,53900,53900,53900,54700,55200,57500,57500,58400,61200,61200,61200,61200,61200,61500,63000,63000,63300,64300,64300,64300,64300,64300,64300,67700,67700,67700,67700,67700,67700,67700,67700,68700,68700,68700,68700,67700,67700,69000,68700,68700,68700,68700,68700,68700,69200,70900,70900,70900,71100,71100,71100,70900,71100,70900,70900,70900,70900,70900,70900,70900,70900,70900,71100,70900,70900,71000,71000,71000,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700
20500,22900,32100,32300,35900,37300,43200,43200,44900,44800,44500,50800,51300,51300,53400,54500,53800,54300,55500,56900,57100,57100,59000,59000,59000,60900,59000,59000,61000,59100,59100,59700,60100,60200,62300,62800,62800,62800,65400,67600,65700,65800,65800,67000,67500,67000,68500,68500,68500,67900,67900,69500,69500,69500,70300,70300,70300,70300,70300,70300,71700,71700,71000,71000,71000,71000,73400,72300,72300,72900,72900,72900,72900,72900,74100,74100,75600,75600,75600,75600,75600,75600,75600,75600,75600,75800,75900,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800
23100,25700,29200,33800,35300,39600,40500,44600,44100,53100,47200,51300,52100,52900,54100,54100,54900,55100,55500,55100,55100,59700,59700,59700,59700,59700,61200,62200,61200,62400,62500,63800,63800,63800,63800,63800,64400,64400,64400,64400,64600,64600,64600,64600,64600,64800,65200,65200,65200,65200,65200,65700,66500,66500,66500,66500,67600,67600,67600,67600,67600,67600,67600,67800,67800,68000,68400,68700,68700,69800,69800,69800,69800,69900,69900,69900,69900,69900,71200,71200,71200,71200,71200,71200,71200,71200,71500,71500,71500,73300,71600,71700,71800,71800,72000,72000,72000,72000,72000,72000,72000
20600,24700,32500,32500,33100,35900,36200,39000,39000,38700,39900,39900,41100,41300,44000,42100,44000,47200,48000,49000,50100,50100,50100,50500,50500,50900,52500,52900,54000,54600,54100,54100,54400,54800,54800,55300,55800,56700,56800,56800,57400,57600,58900,58900,58900,59600,59600,59600,59600,59000,59000,59000,59000,61000,61200,61200,61200,61200,61200,61200,61200,61200,61200,61200,62100,64300,64300,64300,66800,69100,69100,69100,69100,69100,69100,69100,69200,69600,69200,69200,69200,69200,69400,69400,69400,70400,70500,71700,71700,71900,74600,74600,73700,72300,73700,74700,74700,74700,74800,74700,75500
24000,25400,28200,36300,39200,39200,37400,37600,42400,43300,43300,46000,45900,45900,47100,49200,50900,52500,54400,54300,55700,55700,55700,58100,58100,58100,58100,59500,59000,59000,58900,59100,59100,59100,60000,60300,60300,60300,61200,61200,61200,61200,63100,61300,63100,63100,63300,63300,63400,63400,63500,63600,63800,64400,64400,64400,64400,64400,64500,64500,64500,64500,65100,65200,65200,65200,65400,65400,67700,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,67300,67300,67300,67300,67300,67300,67400,67400,68000,67400,68100,68100,68100,68100,68100
24300,27100,32900,29900,32500,36000,36000,44200,44200,41900,44700,47000,44900,48100,48600,48600,47000,49100,50200,50100,49500,51700,51400,51500,52500,52500,52500,52500,52500,52500,52500,54800,53000,54500,54500,53200,53200,53800,53800,54100,54100,54600,56400,56400,56400,56400,56600,56900,56900,58400,59000,59800,61200,61200,60400,61000,63400,63400,64200,64200,64200,64100,65400,67300,67200,67200,67300,67300,68900,68900,68900,69400,69600,69400,69400,69400,69400,69400,69400,69400,69700,69700,69700,69700,69700,69700,69700,69700,71700,71700,72000,72300,73400,73400,73400,74800,74800,74800,75100,75100,75100
21600,23300,26300,30600,34200,35900,36200,40300,41900,41900,44900,45600,47500,51000,51000,54700,52900,53400,56300,58700,58700,59000,61900,61900,63700,63700,63900,67000,64700,66800,66600,66800,68200,69300,68200,69700,69700,69700,70000,70000,70400,71600,71600,71700,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,72700,72700,72700,72700,72800,72800,72800,72800,72800,72800,72900,72900,74000,74000,74000,74000,74000,74100,74100,74100,75300,75100,75300,75300,75300,75300,75300,75300,75300,75300,75300,75300,75400,75400,75300,75300,75300,75300,75300,75300,75300,75300,75300,75400,75300,75300,75300
23100,23700,26200,32000,32200,37400,39900,41300,45600,45600,45600,45600,47800,48500,49900,50200,50200,50900,51000,51000,52700,53600,54500,53600,53700,56000,56000,58200,58200,58400,58400,58900,58900,59800,59800,59800,60400,60400,62700,64000,65100,66300,67400,66700,66700,66700,66700,66700,66700,67600,67600,67700,67700,67700,67700,67700,67700,67700,67700,68500,68600,69100,70400,71100,71100,71800,71800,71800,71800,71800,71800,72400,72400,72400,72400,72400,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600
20400,24900,30900,31000,34200,38600,38400,40900,42600,43500,43500,44300,45500,45700,48700,49100,49100,49100,48700,49600,52200,55500,55500,55600,55600,55600,55600,55600,55600,58600,58600,58700,58700,58700,58700,58700,58700,58700,58700,58700,58700,62000,62000,62000,62000,63300,63300,63300,63300,65500,65500,65500,65500,65500,66800,65500,65500,66400,66400,66400,66400,66900,66900,66900,66900,66900,66900,66900,66900,67800,67800,67800,67800,67800,67800,68600,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300
23600,25200,26300,31800,34500,37600,41800,41800,49300,46800,45400,48500,49600,51500,53900,53900,53400,53400,57700,59400,57700,60800,60800,61800,62100,62400,62400,63800,63800,64700,66000,66100,66100,66300,66300,66300,67600,68000,67600,69100,69100,69100,69800,69800,71300,71300,71300,71300,71600,71600,71600,71300,71300,71500,71500,71600,71600,71800,71800,71800,71800,71800,71800,71800,71800,71800,72600,72700,72700,72800,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900
