0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
18900,24100,26900,29000,33400,37500,42900,46800,46800,46800,51000,53300,57200,57200,57200,57700,58100,58100,59100,61000,62100,62100,62100,62800,68400,68400,68400,68400,68400,68400,68400,68600,68600,70700,70700,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,73800,73800,73800,73800,73800,73800,76000,76000,76000,76000,76000,76000,76200,76200,76200,76200,76200,76200,76200,76200,76200,76200,76200,76200,76400,76400,76400,76400,76400,76400,77700,77700,77700,77700,77700,77700,77700,77700,77700,77700,77700,77700,77700,77700,77700,77700,77700,77700,77700,77700,77700,77700,77700,77700,77700
26500,28000,29900,31700,34900,34900,34900,39100,39100,39400,40300,41200,48900,48900,48900,52400,53100,53100,56600,56600,56600,56600,56600,57400,57400,57400,60400,60400,60400,60400,60400,60400,60400,60600,61400,62600,62600,63200,63200,63700,63700,64000,65600,65600,66300,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68700,68700,68700,68700,69200,69200,69200,69200,69300,69800,69800,69800,71100,71100,71100,71100,71100,71200,72700,72700,72700,72700,72700,72700,72700,72700,73200,73200,73200,73200,73200,73200,73200,73200,73200,73500,73500,74000,74300,74300,74300,75000,75000,75000,75000,75000
18400,27700,35100,37100,43200,43200,43600,43900,47300,47300,49100,51700,51700,51700,51700,51700,51700,51700,56700,56700,56700,56700,56700,57600,57600,57600,57600,57600,57600,57600,61300,61300,62000,62400,62900,64200,64200,64200,64200,66200,67300,67300,67300,67300,67500,67500,70000,70000,70200,70200,70200,70200,70200,70400,72200,72200,72200,72200,72200,73100,73100,73100,73300,73300,73300,73300,73300,73300,73300,73300,73300,73500,73500,73500,73500,73500,73600,73600,73600,73600,73600,73600,73600,73600,73600,73700,73700,73700,73700,73700,73700,73700,73900,74100,74100,74100,74100,74600,74600,74600,74600
20600,24900,28700,37500,37500,38600,39900,43900,43900,43900,47800,47800,47900,47900,49200,49700,50000,51300,56900,56900,56900,56900,59000,59000,59000,59000,59200,60400,61100,61100,61100,61200,61200,63500,63500,64900,65300,65300,65600,67200,67200,67200,67700,67800,67900,68100,68100,68100,68800,68800,68800,68800,68800,68800,68800,68800,69700,69700,69700,69700,69700,69700,69700,69700,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300
21200,26500,32100,33700,38600,41500,42900,42900,42900,45700,47300,48300,49800,50200,50200,50200,53700,53700,54800,56800,56800,58100,58200,58200,58200,60200,60400,60400,62700,62700,62700,63200,63200,63200,63200,63800,63800,63900,65300,65300,65800,67600,67600,67700,67700,67700,67700,67700,67700,67700,68400,69300,69300,69300,69300,70500,70500,71200,71200,71200,71200,71200,71200,71200,71200,71200,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72400,72400,72400,72400,72400,72400,72400,72400
22700,27000,33000,34600,34600,36900,43900,43900,43900,46200,46500,47400,49000,49300,53700,53700,53700,53700,53700,54300,54300,54300,55200,55200,55200,55200,55200,55800,55800,57000,58300,58300,59300,59300,60200,60300,60300,60300,61600,63400,63400,64600,64800,64800,65400,66100,66100,66100,66600,66600,66600,67400,68100,68200,68900,68900,68900,68900,69400,71200,71200,72000,72000,72000,72000,72600,72800,72800,72800,72800,72900,72900,72900,72900,72900,73100,73200,73200,73200,73400,73400,73400,73500,73600,73600,73600,73600,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,74500,74500
20000,22000,28200,30400,32200,36700,44600,44600,44600,46400,46700,48200,48200,48400,51300,51300,52400,54900,58700,58700,58700,58700,58700,59800,59800,59800,61200,66200,66200,66200,66200,66200,66200,66400,66400,67700,67700,67900,67900,67900,67900,69300,69400,70800,70800,70800,70800,70800,70800,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71100,71100,71100,71100,71100,71100,71100,71100,71100,71100,71100,71100,71100,71100,71100,71100,71100,71100,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200
18800,26000,30700,30700,33700,38200,41100,41100,43000,43000,45900,47000,47000,47000,50800,50800,50800,50900,51500,52000,54700,55000,55000,55000,55000,55300,56500,58700,58700,59300,59700,61100,61300,63100,64300,64300,64300,65200,65900,65900,65900,67000,67300,70100,70100,70100,71500,72200,72200,72200,72200,73000,73600,73600,73600,73600,73600,73700,73700,73700,73700,74300,74300,75200,75900,75900,75900,75900,75900,76000,76000,76000,76000,76000,76000,76000,76000,76000,76200,76200,76200,76200,76200,76200,76200,76200,76200,76200,76200,76400,76400,76400,76400,76400,76400,76400,76400,76400,76400,76400,76400
20700,25100,25100,31600,33100,36500,37700,38200,40000,42000,43300,47200,47200,49300,49800,50000,51800,52000,52200,52200,53100,54600,55000,55000,55000,57600,57600,57600,58800,58800,61000,61000,61200,63300,63300,63400,63400,65000,65000,65000,65000,65000,67000,67000,67000,67000,68300,69700,69700,72000,72000,72000,72000,72000,72000,72000,72000,72000,74200,74200,74200,74200,74200,74200,74200,74200,74200,74500,74500,74500,74500,74500,74500,74500,74500,74500,74500,74500,74500,74700,74700,74700,74700,74700,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,75000,75000,75000
23200,28000,29400,32200,34100,36700,38600,38600,42100,44000,45000,45600,46200,48000,48000,48400,48400,49400,52000,52000,52000,52000,53200,53200,53200,53200,53200,55800,55800,55800,56500,56500,57300,57300,57400,57500,57500,57500,57500,59100,59100,59400,59700,59700,59700,59700,59700,59900,60100,60100,64200,64200,64200,64200,64200,66400,66400,66400,66400,70100,70100,70400,72100,72100,72100,72100,72100,72100,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74900,76500,76500,76500,76500,76500,76500,76500,76500,76500,76500,76500,76500,76500,76500,76500,76500,76500,76500,76500,76500,76500
