0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
22000,23400,29500,32700,37900,41100,41100,41100,41400,46600,46600,46600,47900,47900,53000,53000,53000,53000,55000,55800,55800,55800,55800,55900,55900,57700,58100,58300,58300,58300,61300,61300,61300,61300,61300,61300,61300,61300,61300,61300,61300,61400,61400,61400,62600,62600,62600,62600,62600,62600,62600,62600,62900,62900,62900,62900,63000,63000,64400,64500,65400,66000,66600,67400,67400,67500,67500,67500,67500,68300,68300,68300,68300,68300,68300,68300,68300,68300,68300,68300,68300,68300,68300,68300,68300,68800,68800,68800,68800,68800,68800,69000,69500,70200,70200,70200,70200,70200,70200,70200,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600,70600
20700,25200,26700,30900,32100,33900,33900,39000,41300,41300,42400,43200,44800,47100,49600,52000,52000,52400,52400,54300,54300,55300,55300,55400,57300,57400,57600,57600,58700,58700,58700,58700,59100,59400,61800,61800,61900,63800,63800,64500,64500,64500,64500,64500,65100,65100,65100,65100,65200,65200,65300,65300,65700,65700,65700,65700,65700,65800,66100,66100,66100,66100,66200,66200,66200,66200,68200,68200,68200,68200,68200,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68700,68700,68700,68700,68700,68700,68700,68700,68700,68700,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,70300,70300,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500
25000,30100,30100,30200,30500,37800,37800,38000,38000,40800,42200,42900,43200,46800,46800,50200,50200,53300,53300,53900,55100,55100,55300,55300,56100,56600,56600,57000,57900,58100,58100,58100,58700,59400,60100,60100,60100,60100,61300,61300,61300,61300,64600,64600,64600,64600,64800,64800,64900,64900,64900,64900,64900,64900,64900,64900,65100,65100,65200,65200,65200,65200,65200,65200,65200,65200,65200,65200,65200,65200,65200,65800,65800,65800,65800,66200,66200,66200,66400,66400,66400,66400,66400,66400,66500,66500,66500,66500,66500,66500,66500,67100,67100,67100,67100,67100,67800,68900,68900,68900,69900,69900,69900,70500,70500,70500,70500,70500,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200
23200,30000,36900,37200,37200,37700,40000,41700,41700,41900,43400,45200,45200,46300,46900,47400,47400,48100,48100,48100,48100,50400,50400,50400,50400,52400,52400,52400,53400,53400,54300,54300,54300,55500,55500,55800,56000,58500,58500,58800,58800,58800,58800,58800,58800,60300,60300,60400,60400,60400,60700,60900,64800,64800,64800,64800,64800,66800,66800,66800,66800,66800,66800,66800,66800,66800,67100,67100,67100,67100,67100,67100,67100,68900,68900,69100,69100,69100,69300,69300,71700,72000,72000,72000,72000,72000,72000,72000,72000,72300,72300,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700
17600,22200,27100,29700,32600,36700,39300,40000,44500,44500,44500,44500,46600,46900,47300,47800,47900,47900,50400,50400,51000,52200,52200,52500,53600,54200,55300,56800,59500,59500,59800,60700,60700,60700,63800,63800,63800,63800,65100,65100,65100,65400,66900,66900,66900,66900,67200,67200,69000,69000,69100,69100,69100,69100,69100,69100,69400,69400,70200,70200,70200,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,70500,72500,72500,72500,72500,72800,72800,73100,73100,73100,73100,73100,73100,73100,73100,73100,73100,75100,75100,75100,75100,75100,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700
23400,24300,34900,39900,39900,42000,42000,42900,42900,44000,44200,47400,51000,56700,56700,56800,59400,59400,60700,61300,63100,63100,63100,63100,63600,63700,64000,67200,67200,67200,67800,67800,68300,68300,68400,68400,68400,68400,68400,68400,68400,69800,69800,69800,69800,71100,71100,71100,71300,71300,71300,71300,71300,71300,71300,71300,71300,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,74600,74600,74600,74600,74600,74600,74600,74600
23000,26800,29000,33700,33700,36600,37600,38400,39800,39800,40700,44100,44100,48300,48300,49600,49600,49600,49700,51700,51700,54200,54200,54200,54900,54900,56200,56400,56400,56400,56400,56400,56400,57200,59800,59800,60100,60700,61000,61200,61200,61200,61200,62000,63100,63100,63100,63300,64600,64600,64700,64700,65600,65600,65600,65700,68500,68700,70000,71000,71000,71000,71000,71900,71900,71900,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,73100,73100,73100,73100,73100,73100,73100,73100,73100,73100,73100,73100,73100,73100,73100,73100,73200,73200,73200,73200,73200,73200,73200,73200,73200,73400,73400,73400,73400,73400,73400,73400,73400,73400,73400,73400,73400,73400,73400,73400,73400,73400,73400,73400,73400,73400,73500,73500,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700
21900,27900,35100,35600,37700,40600,43800,44600,44600,48100,49100,49100,49200,49900,51000,52300,53200,53200,53600,54300,57000,57000,57000,57300,57500,57500,57500,57600,58900,58900,58900,59500,59500,59600,60600,60600,61600,61600,61600,63000,63200,63900,63900,63900,65800,65800,65800,65800,65800,65800,65800,68300,68300,68300,68300,69100,70100,70200,71200,71200,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72600,72600,72600,72600,73400,73400,73400,73400,73400,73400,73400,73400,74000,74000,74000,74000,74000,74000,74000,74100,74100,74100,74400,74400,74400,74400,74500,74500,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700,74900,74900,74900,75900,75900,75900,75900,75900,75900,75900,75900,75900,76000,76000,76000
19700,23800,26300,26700,31800,33600,44000,46000,46500,47300,47700,47700,51900,51900,51900,51900,51900,52900,54700,54700,54900,57000,58500,58500,59100,59100,60000,60000,60000,60000,61000,61000,61000,61000,62100,62100,62800,63100,63100,63100,63100,63100,63100,64100,64100,65000,65400,65400,65700,65700,67100,67100,67100,67800,67800,68900,68900,68900,68900,69900,69900,71100,71500,71500,71500,71500,71500,71500,71700,71700,71700,71700,71700,71700,71700,71700,71700,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200
23600,29200,33400,34900,42000,42000,45900,47000,47700,48200,48400,53200,53200,53200,53200,53200,54100,54900,55600,55600,55600,56300,57400,57400,57400,58800,60400,60500,60800,60800,60800,61900,61900,62700,62800,62800,62800,63400,63500,63500,65100,65100,65100,66200,66300,66300,66300,66300,66300,66300,66300,66300,67400,67400,67400,67400,67500,67500,67500,68100,68100,68100,68100,68100,68100,68100,68200,68200,68200,68200,68200,68200,68800,68800,68800,70100,70100,70100,70200,70200,70200,70200,70200,70200,70500,70700,70700,70700,70700,71400,71400,71400,72500,72500,74800,74800,74800,74800,74800,75200,75200,75600,77200,77200,77300,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600,77600
