0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
19800,24000,31100,31100,32700,38300,43900,43900,43900,43900,44700,45200,46000,47400,47400,50700,50700,50700,50700,50700,50700,50700,52600,52800,57200,57200,57200,59100,59100,60400,62100,62300,62400,62400,62400,63700,63700,63700,63700,63700,64400,64400,65800,66000,66000,66100,67700,67700,67800,68400,68600
28500,30100,39700,39700,39700,41900,45700,45700,45700,45700,45700,45800,48400,48400,48500,50800,52200,52300,52300,52300,52300,55400,56000,56000,56800,56800,58800,58800,58800,61100,61100,61100,62000,63300,64100,64200,64200,65600,65600,68400,68400,70000,70000,70000,70000,70000,70000,70000,70000,70000,70700
22500,30700,30800,34600,39200,39200,41400,44500,47200,49900,53800,53800,54000,55400,57800,59800,59800,59800,59800,59800,59800,63700,64500,64500,64500,65900,65900,66100,66100,66100,66100,66100,66100,66100,68100,68100,68100,68100,68200,68300,68300,68300,69100,69100,69100,69100,70900,70900,70900,70900,70900
19200,23300,28500,32600,35700,35800,40700,40700,45900,46900,46900,49600,49600,49900,50300,50300,52900,55300,55300,55300,55300,56700,56700,56700,56700,56700,56700,56700,56700,56700,56900,56900,56900,57000,57700,58400,58400,58400,58400,60700,60700,60700,60700,60900,61000,61000,61000,61000,61000,61000,61000
26900,26900,28200,28300,34800,37300,39800,39800,39800,39800,44600,44600,44600,45700,47100,47100,47300,47300,47800,49800,51000,51000,52700,52800,53500,54200,56200,57100,59100,60500,62000,62000,62000,62000,62000,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64500,64500,64500
23100,29200,29200,29200,35500,35500,38300,38300,43500,43500,43500,48500,48500,50400,50400,50400,51700,51700,51700,51700,54100,55300,55300,57400,57400,57400,57500,57500,57500,57500,61400,61400,61400,64700,64700,65500,65500,65700,66000,66000,67300,67500,67500,68900,68900,68900,68900,68900,68900,68900,71200
19200,24500,30400,30400,34500,34500,41000,41000,41000,41000,41000,41900,44500,46900,46900,47600,47700,48600,50000,51500,51500,52200,53000,53000,55500,56300,56300,57700,58000,58300,58300,59400,60900,60900,61200,61800,61800,61800,63400,63400,63400,64300,64300,64300,64300,64500,64700,64700,65300,65300,65500
19400,23600,24400,29100,31900,31900,36300,38500,40100,43400,43400,43400,43600,45000,47200,52000,52000,52000,52000,52000,52000,52300,52900,52900,52900,54900,54900,54900,54900,55700,55700,56200,56200,58900,58900,59000,59000,59000,59000,59000,59000,60200,61600,61600,61600,61600,61600,61800,61800,61800,61800
20700,23000,29000,29900,31000,33400,34800,35800,45400,47400,47600,47600,48400,52200,52200,52200,52200,56100,56100,59300,59300,59500,59500,59500,60700,60700,60700,60700,60700,60700,62700,63000,63100,63100,64400,64400,64400,64500,64800,64800,65300,65300,65400,65400,65500,65500,66800,67000,67800,67800,68100
20400,31400,31400,33400,33400,33400,41800,41800,42000,42000,44900,45400,45400,45400,47900,47900,48400,50600,54000,54000,54000,55900,55900,55900,55900,57500,58300,59600,59600,59600,59600,60100,60300,60300,60700,60700,63100,63100,65800,65800,65800,65800,66600,66700,66700,68200,68400,69400,69400,69600,69900
24100,32000,32000,33700,39800,41200,45500,45500,45500,45500,45500,48600,48700,48800,48800,48800,49700,50600,50600,50600,50600,50900,51900,51900,56000,56000,56000,57900,59100,59100,61300,61300,61300,61300,63400,63400,63400,65100,65100,66000,67100,67100,67100,67200,68300,68300,68700,68700,70000,70000,71900
19400,24800,26800,26800,30100,33200,38700,38700,38900,39300,43400,43400,44500,44500,44800,45500,45500,47200,47200,47600,47600,47600,48000,48000,48800,49000,50600,50600,50600,52100,53400,53400,53400,55700,55700,55700,55700,55700,56100,57300,57300,58400,58400,58400,58400,58400,58400,58400,59300,59500,59500
21100,23500,27000,32600,32600,40100,42900,44100,45400,45400,46300,49400,49400,52800,52800,53300,55700,56500,56500,56500,56500,56500,58100,58300,58300,58600,58900,58900,58900,59100,59100,60300,61300,61300,61300,61300,61300,61300,61300,61300,61900,62000,62200,62200,62200,62200,62200,63400,63500,64300,68200
20400,21100,26300,31400,34300,34300,40300,40300,40600,40600,45100,45200,45200,46100,46100,49200,51300,53500,53500,53500,53500,53500,55100,55200,55200,55300,57100,58700,58700,59300,60200,61700,61700,61700,61700,61700,61700,63200,63200,63200,63200,63200,63200,63400,64000,64000,64000,64000,64000,64100,64100
21900,21900,24900,38300,38300,38300,38300,38300,43100,43200,43300,45600,46100,46100,47900,47900,49800,49800,49800,49800,51600,52500,52500,52600,54100,54100,56000,56300,56300,57000,58000,58000,60300,60300,60300,60500,60500,61000,61000,62500,62500,62500,62500,62500,64700,64700,64700,65700,66100,66100,66100
18800,25300,25800,29200,31400,33300,33600,38300,38300,43200,43200,43900,44700,46200,47500,47500,47500,48800,49900,51700,52000,52000,52000,54500,54500,54500,54500,55600,55600,57900,57900,57900,57900,57900,59400,59900,61100,62300,62300,62300,62300,62300,62800,62800,62800,64000,64000,64000,64000,64000,64000
21000,26000,26000,32200,34300,35100,38900,41000,42900,43700,43700,44500,45600,46500,46500,47500,48500,48800,48800,49100,50900,50900,53200,53200,53200,53200,53200,53300,53400,53400,55200,55200,55200,56500,56500,56500,56500,56500,56800,56800,57700,57700,57700,57700,57700,57800,58700,58700,58700,58700,59100
23300,28500,29600,34700,35900,39000,39000,42900,45500,45500,45800,46200,47200,49200,50700,50700,53200,53200,54100,55100,55100,56400,57200,59800,59800,60700,61100,61300,61700,61700,61700,61700,61700,61700,63500,63500,64400,64400,64400,64400,64400,64400,65400,65400,65400,65400,65400,66500,66500,66500,66500
25800,25800,27000,32200,37000,38100,42400,42400,44800,44800,46900,49500,49500,51300,51300,52100,52200,52200,52800,52800,56300,56300,56300,56300,56300,57500,58500,60900,62400,62400,62400,63400,63400,64700,64700,64700,67000,67000,67000,67000,67000,68200,68200,69900,70700,70700,70700,70700,70700,70700,70700
24800,27600,28700,36300,39000,40500,40500,44300,45400,48300,48300,48300,55900,55900,55900,56400,56500,58200,58700,58800,59700,60200,62500,63200,63200,66800,66800,66800,69000,69000,69500,69500,69500,69500,71600,71600,71900,71900,71900,71900,71900,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500
19900,19900,33700,33700,35100,35700,36800,38600,38600,38900,47200,47200,47400,47400,47400,49400,53000,53000,54300,56700,57100,58800,61000,63700,63700,63700,63700,63700,65800,65800,65800,65800,65800,65800,65800,67600,67600,68100,68100,68100,68100,69700,69700,70900,70900,70900,70900,70900,71900,71900,71900
28800,29600,34900,34900,38900,38900,40100,42100,47400,47400,47400,48100,48100,51200,51200,51200,51700,52500,54900,54900,54900,55700,55700,56500,56500,56500,58600,58600,59400,60800,61700,64900,64900,64900,64900,65100,65600,65900,67000,67000,68700,68700,68700,68700,68900,68900,68900,68900,70500,70500,70500
18600,24500,26700,37100,39300,39300,42300,43100,43600,43600,45800,45800,47900,48500,50600,50600,50600,52300,52300,52300,52800,56600,56600,56700,56700,56700,56700,58700,58700,58700,58800,60000,60000,60000,60000,60000,62000,62000,62000,62000,62000,62000,62000,63600,64000,64100,64100,64100,65100,65100,65100
20900,26200,29800,33500,38800,41400,42300,45500,47200,47200,47200,48200,50900,50900,50900,52400,54600,54600,54600,54600,56600,56600,56600,57300,57800,58700,58700,60200,60200,60200,60300,60300,61600,61600,62200,63600,64200,64200,65100,65100,65200,65700,65800,66700,66700,68800,71000,71000,71000,71000,71000
