0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
19300,20200,21700,25800,27700,30400,30400,31500,35400,35400,35500,37900,38400,41700,42500,42500,42500,42500,42700,44700,46100,46100,46100,46900,46900,46900,46900,46900,46900,46900,48500,48900,49200,49200,49200,49200,49200,50600,50600,51000,51000,52000,52000,53100,53100,55600,55600,55700,55700,56800,56800,56800,56800,58300,59200,59200,59200,59200,59600,59600,59600,59600,59600,59600,59600,59600,59600,59800,60800,60800,60800,60800,60800,60900,60900,61500,61500,61500,61500,65600,65600,65600,65600,65600,65600,65600,65600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67800,67800,67800,67800
22200,22900,27800,29000,32700,32700,32700,32700,32700,33300,35100,37400,37400,40800,42900,42900,42900,42900,44000,44300,45900,47900,47900,47900,49500,49500,49500,50500,50500,52000,52000,52000,52000,52200,52200,52500,52500,53100,53100,53100,53100,53100,53100,53100,53300,53300,53400,53400,53400,53500,53500,53600,53600,53900,53900,53900,53900,53900,53900,53900,55200,55200,55200,55200,55200,55200,55200,55400,55400,57500,57500,57500,57500,57500,57500,57500,57600,57600,57600,57600,57600,57600,57600,58000,58000,58000,58000,58200,58200,58200,58200,58200,58200,58200,59500,59500,59500,59700,59700,59700,59700
21500,23000,23000,25900,27800,28100,31400,36400,37700,37700,39600,40700,41200,41200,42700,42700,42700,44700,44700,45700,45700,45700,45700,45700,46100,46900,46900,46900,48700,48700,48800,50400,51500,51500,51500,52100,52100,54000,54000,54000,54000,54500,54500,55500,55500,55500,55500,55500,55500,56900,59700,60500,60700,60700,60700,60700,60700,63600,63600,63600,63600,63600,63600,63800,63800,63800,63800,63800,63800,63800,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64800,64800,64800,66100,66100,66100
18700,27900,30500,30500,30500,30500,33500,37700,40300,40300,40600,40600,41100,41400,41400,41400,41900,43100,44100,44100,46600,46600,47900,49900,49900,50700,50700,51500,51500,51700,52700,54900,54900,54900,54900,54900,57400,57400,57400,57400,58100,58100,58100,58100,59200,61700,61700,61800,61800,62400,62400,62400,62400,62600,65800,65800,65800,65800,65800,66400,66400,67000,67000,67200,67200,67300,67400,67400,67700,67700,67700,67700,67700,67700,67800,67800,67800,67800,68900,68900,68900,69300,69300,69300,69300,69300,71800,71800,71800,71800,71800,71800,72800,72800,72800,72800,72800,72800,72800,72800,72800
20800,25100,25100,27700,28200,31700,31700,32500,35500,35500,35500,36000,37000,37100,37100,38500,38500,38900,38900,42500,42500,43000,43000,43700,45600,45600,48400,48400,48400,48400,49000,49000,49100,49100,49100,50100,50800,50800,50800,50800,50800,51500,51500,51500,51500,52300,52300,52300,54500,55300,55400,55400,55400,55400,55400,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,58400,58400,59400,59400,59400,59400,60600,60600,60600,60600,60600,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,67200,67200,67200,67200,67200,67200,67600,67600,67600,67600,67600
18600,22200,26700,29400,32800,32800,36100,36400,41700,43800,43800,44400,44400,44400,44400,46500,46500,50900,50900,50900,51000,51000,51000,51000,52100,52100,52100,52500,52500,53600,53600,53900,54900,54900,54900,54900,54900,54900,55200,55200,55200,55200,55200,55200,55200,56000,56000,56000,57600,58700,58700,58700,58700,58700,58700,59600,59600,59700,59700,59700,59700,61300,61300,61300,61300,61300,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,64300,64400,64400,64400,64400,64400,64400,64400,64400,64400,64500,64500,64500,66400,66400,66400,66400,66600,66600,66600
18400,18400,26300,26300,26300,28500,28500,28500,29600,29600,30500,30500,31600,31600,33900,33900,33900,36100,36100,37200,39400,39700,42700,42700,42700,44500,44700,44700,47000,47000,48000,48000,48000,48000,48000,48000,48000,48000,50000,50000,50000,50000,50900,50900,54400,54400,54400,54400,54400,54400,54400,56500,56500,57700,57700,57700,57700,57700,60000,60000,60300,61300,61300,61300,61300,61300,61300,61300,61300,61300,62200,62200,63900,63900,63900,63900,63900,63900,65600,65600,65600,66800,68300,68300,68300,68300,68300,68300,68300,68300,68300,68300,68300,68300,68300,68600,68600,70900,70900,70900,70900
20000,22000,29600,29600,29600,32500,33400,33600,34300,34300,34300,36400,36400,36400,36700,36700,36700,38300,38500,39900,39900,39900,42800,47100,47100,47100,47100,47100,47100,47100,47100,53100,53100,53100,53100,53100,54100,54100,54100,54200,54200,54200,54200,54200,54300,54300,54300,55100,55100,58400,58400,58400,59100,59100,59100,59100,59100,59100,59200,60600,60600,60600,60600,60600,61400,61400,61400,61400,61400,61400,61400,61700,61700,61900,61900,61900,61900,61900,61900,61900,61900,61900,61900,61900,61900,61900,62200,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,65300,65300,65300,65300
21900,25200,26600,28700,31300,32500,32500,38600,39600,39600,39600,39600,42800,42800,42800,43700,43700,43700,43800,45900,45900,45900,45900,48000,51000,51000,51000,51000,53300,53300,53300,53300,53300,53300,53300,55400,55400,56900,56900,56900,56900,56900,56900,56900,57600,57600,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,59400,59400,59400,59400,61300,61300,61300,61300,61300,61300,61900,61900,61900,61900,61900,61900,61900,62600,65200,65200,65200,65200,66100,66100,66100,66100,67900,67900,67900
18600,25600,29000,29000,29000,29000,29200,29200,29300,33400,34900,37000,37000,37000,39000,39500,40600,40600,41000,41000,41400,45700,45900,45900,46500,46500,47400,47400,48000,48000,48000,48000,48000,49000,49000,49000,49000,49000,49000,49000,49900,49900,49900,52500,52500,52500,52500,55200,55500,55500,57800,57800,57800,57800,57800,57800,61200,61200,61200,61200,62600,62600,62600,65500,65500,65500,65500,65500,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,66700,66700,66700,66700,66700,67700,67700,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800
