0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
10700,15800,20400,23200,26000,29600,32000,34500,36900,40700,42000,44600,47800,49600,51300,53000,53500,55600,56000,56100,56200,57000,58400,58800,60500,61700,63700,63800,65300,66600,66600
12700,14800,19500,23000,25400,27500,29500,31500,33600,35700,38200,40800,43500,44900,47200,48200,50100,51600,52600,52900,55000,55800,57000,57100,57100,57100,57100,57100,57100,57100,57100
13300,16300,20300,22600,25300,30800,32700,34800,37100,40300,43000,45000,47300,50200,52600,54000,55300,56200,57200,57800,58000,59000,59900,61000,61900,63100,63100,63100,63100,63100,63100
12300,15700,18400,21000,24300,26600,29000,31700,34900,37600,41500,45200,47300,49300,51300,51900,54200,57000,59000,60500,62500,65700,65900,65900,65900,65900,65900,65900,65900,65900,65900
16100,22000,25900,28900,31900,34600,37000,39900,42200,44300,46200,49000,50400,50700,53400,53800,55400,57000,59000,59400,60800,63600,64600,64600,64600,64600,64600,64600,64600,64600,64600
12700,19400,21500,23900,28500,31200,35200,35500,37500,41400,44300,46500,47500,48200,50100,51700,52600,54700,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300
14800,17700,20200,22200,25000,27400,29700,33900,36400,39300,41700,45000,47700,48100,51500,53500,54200,55100,57300,58000,58200,58400,58400,58400,58400,58400,58400,58400,58400,58400,58400
6800,10800,17800,20200,23800,27800,30500,32500,34600,36500,39700,40700,42900,45600,47800,48600,51000,52900,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
19400,22000,26700,28700,31600,34300,38300,40900,43200,45600,46400,48700,50700,52700,56400,58100,61500,63800,65600,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000
11300,14500,17300,19300,23100,25200,27500,29600,33100,35900,37900,39100,41100,42600,44000,46000,48700,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000
15400,18000,20100,22400,24700,27500,29100,31200,34100,36800,38200,40200,42500,43400,45500,47500,51500,52200,54200,55000,55900,57800,59000,61100,61100,61100,61100,61100,61100,61100,61100
17500,19400,23700,25700,29400,32700,33300,35300,38000,40300,42300,43500,44600,45500,46500,49200,50500,51300,51900,53800,54700,54800,54900,56000,56000,56000,56000,56000,56000,56000,56000
10600,14300,19100,22400,26000,29200,34300,36300,38400,40000,42600,45400,49300,50700,52900,55100,57300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300
10000,15000,17300,21000,24900,27000,28900,31800,34500,37900,41300,43500,46200,48200,48600,50900,54200,57000,59100,60200,62400,63100,64800,64800,64800,64800,64800,64800,64800,64800,64800
10500,13500,18800,20900,23900,26900,31600,35000,37100,39200,41400,43400,45400,47800,49800,51800,53300,54700,54800,56800,57800,59100,60500,61800,62700,64400,64400,64400,64400,64400,64400
13000,15600,19400,24400,28400,31300,36200,38400,40400,42200,45200,47800,49100,49400,50700,52600,54700,56100,57100,59200,59200,59200,59200,59200,59200,59200,59200,59200,59200,59200,59200
8000,13400,15700,19800,24500,26500,30200,32200,34500,36300,38300,40500,44800,47200,49200,49300,51000,52900,55900,56000,57400,61000,63800,65500,67400,67400,67400,67400,67400,67400,67400
9100,11900,14000,16700,19100,22500,26600,29000,31000,33200,35100,38600,39700,43500,45300,48000,50200,52600,55700,57800,59800,61700,63100,64200,65600,66700,66700,66700,66700,66700,66700
9300,11700,17300,21200,26400,29700,33000,35700,38200,40200,43700,45200,46100,48100,51400,53300,53400,54500,56400,59200,60600,62500,63200,63200,63200,63200,63200,63200,63200,63200,63200
18900,22200,25000,27300,29300,32100,35300,37300,39300,42300,43700,45500,47000,48600,50600,52200,52800,53500,57400,57600,59200,61000,61500,62400,62600,64100,64200,64200,64200,64200,64200
15900,21100,24300,27400,30500,34400,36400,38300,40500,42500,44400,45300,46800,48100,49700,50100,52100,52700,53400,53600,55300,56800,58200,60300,60300,60300,60300,60300,60300,60300,60300
9600,13800,17400,21400,23800,26600,29500,34400,37200,40500,42500,45100,45900,46000,48900,50400,51100,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
13100,15800,19100,22600,26900,28800,32600,35300,38000,40000,41900,44700,46400,48600,50600,51700,53900,55300,57300,57700,59100,60500,60600,60700,63000,63000,63000,63000,63000,63000,63000
13500,18400,21200,24800,26800,28900,31600,32800,35700,38400,40000,42300,43900,45600,47700,48800,50800,52900,54700,56700,57300,57800,57900,57900,57900,57900,57900,57900,57900,57900,57900
16500,19200,22200,24900,26900,29600,31400,35400,41300,43400,44100,46000,48300,50200,52700,55500,56400,58600,62000,64300,64400,66500,66500,66500,66500,66500,66500,66500,66500,66500,66500
19600,22400,24700,28300,30900,32300,36100,38000,41000,43800,45500,47500,48200,49500,51700,53100,55000,55200,59000,61300,63300,63300,63300,63300,63300,63300,63300,63300,63300,63300,63300
15900,18700,21500,23700,25700,29500,32300,34700,37400,41500,43600,46400,48200,50900,51300,53300,54000,56400,56700,58200,58400,58400,58400,58400,58400,58400,58400,58400,58400,58400,58400
9500,12600,15300,17700,22200,24600,27400,29600,32200,34700,37100,39200,41400,42800,44700,48900,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500
17500,20100,25500,26600,28300,30400,32400,35900,37700,40400,42900,44800,46100,47200,50100,52000,54000,56000,57500,57700,60100,61200,62600,62600,62600,62600,62600,62600,62600,62600,62600
12600,17300,19400,23300,28500,31500,33500,35500,37500,38700,42000,44800,45700,47700,50100,54100,55300,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500
