0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
12000,17800,21300,24700,26400,27800,30100,36400,39800,45300,48900,49100,49200,49300,51200,51100,52900,55600,55700,56300,56300,56300,60600,62200,63000,64200,64200,65300,65300,65300,67100,67100,67100,67100,67100,67100,67100,67100,67000,67000,67000,67100,67100,67100,67100,67100,67100,67100,67100,67100,67100,67100,67500,67500,67500,67500,69300,69300,69300,69300,69400,69400,69400,69400,69400,69400,69400,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,72400,72400,72400,72400,72400,72400
13300,20800,24100,26400,30800,33800,41700,43300,49100,50900,50900,50900,51300,51300,51300,52700,52700,52700,53500,53500,53500,53500,55800,60600,60600,62100,62100,62100,64400,64400,64400,64600,64600,64600,64600,66100,66100,66100,66100,66100,66100,66100,66100,66100,66100,66100,66100,67000,67000,67000,67000,67000,67000,68000,68000,68000,68000,68000,68000,68000,68000,68600,68600,68600,68600,68600,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69200,69200,69200,69200,69200,69200,69200,69200,69200,69400,69400,69400,69400,69400,69400,69400,69400,69400,70400,70400
9400,18400,27000,33500,35200,38400,41500,47800,47800,53700,53700,57500,57500,57500,57500,57500,57500,59600,59600,59600,59600,59800,59900,59900,61800,61800,61800,63700,63700,63700,63700,64600,64600,64600,64600,64600,64600,64600,65000,65000,65000,65000,65300,65300,65300,65300,65300,65300,65300,65300,66200,66200,68000,68000,68000,68000,68000,68000,68000,68000,68000,68100,68600,68600,68600,69600,69600,69800,69800,69800,69800,69800,69800,69800,69800,71100,71100,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900
14000,22600,32300,36900,40600,40700,40800,42500,44600,46300,46600,48000,48100,48100,51600,51700,52300,52300,52200,52200,54500,56500,56500,58900,59100,59100,59600,59600,59600,60200,60200,60200,60200,60200,60200,60200,61400,62600,62600,62600,62600,62600,62600,62600,62600,62600,62600,63000,63800,63800,63800,65100,65100,65100,65100,65100,65100,65100,65100,65200,66400,66500,66500,66500,66500,66500,66500,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600
5100,16000,18800,22800,32200,36400,40500,42900,43800,43800,45500,49500,50300,51100,51100,51400,51500,51500,53100,57100,57100,57400,57400,58100,58100,58100,58700,59800,59800,61000,63400,63400,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,66100,66100,66100,66200,66200,66400,66400,66300,66900,67000,67000,68300,68300,68300,69500,69600,69900,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,70900,70900,70900,70900,70900,70900,70900,74000,74000,74000,74000,74000,74000,75600,76200,76200,76200,76200,76200,76200,76200,76200,76200,76200,76200,76200,76200,76200,76200
10000,18400,22000,26900,30100,36200,37800,41500,42100,42100,42200,44400,44400,46300,49800,51700,51700,51700,51700,53200,53100,53100,53100,53200,53200,54000,54000,54000,54000,54100,55600,56900,57700,57700,57700,57700,57700,57700,58000,59900,60900,61400,61500,61500,61600,63000,63000,63000,63000,63000,63000,63000,65000,65000,65000,65000,65900,69600,69600,69600,69700,70000,71900,71900,71900,71900,72000,72000,73300,73300,73300,73300,75000,75000,75000,75000,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100
8900,17200,20100,25200,35000,36200,36700,40700,40700,41100,45600,46500,47400,50600,51400,51600,53900,53900,56000,58200,58200,58200,58200,59500,60700,60600,61500,61500,63000,63800,63800,63800,63800,64500,64500,66800,66800,66800,66800,66800,66800,66800,66800,66800,68100,68000,68000,68000,68000,68000,68000,69300,69300,69300,69800,69800,70100,70100,70100,70100,70100,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,72200,72200,72200,72300
13400,17000,22000,27200,33000,35200,37900,39400,42400,43100,43100,43300,45500,46900,47600,47600,47600,55700,56600,56600,57500,59100,59100,59100,59100,59100,59100,59100,59100,59100,59400,59400,59400,59400,59500,59500,59500,59500,59500,59500,59500,59500,59500,61400,61400,63500,63500,63500,63500,67700,67700,67700,67700,67700,67700,68000,68000,68000,68000,68000,68000,68000,68300,68300,68300,68300,68500,68500,68500,68500,68500,68500,68500,68500,68500,68500,68500,68800,68900,68900,68900,68900,69000,69600,69800,69800,70200,70200,70200,70200,73100,73100,73100,73100,73100,73100,73100,73100,73100,73100,73100
15700,19500,31800,34000,35100,40300,40900,40900,43800,44100,44300,44400,46900,49700,53100,55500,55500,55500,55500,55500,56400,57400,58200,59600,59800,59800,59800,59800,59800,59600,60100,60100,60100,60100,60400,61500,62400,62400,63200,63200,63200,65500,65700,65800,65800,65800,66200,66400,68500,68500,71900,71900,71900,71900,71900,71900,71900,71900,71900,71900,72100,72100,72100,72100,72100,73400,73400,73400,73400,73400,73400,73400,73400,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500
11600,24900,28400,30800,33200,38500,39800,44400,44600,48900,49000,49100,52500,56800,59600,61800,61800,61800,61800,64900,66800,69400,69400,69400,69400,69400,69400,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,72000,72000,72000,72400,72400,72400,72400,72400,72400,72800,72800,72800,72800,73900,73900,73900,73800,73800,73800,73800,73800,73800,73800,73800,73800,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74500,74500,74500,74500,74500,74500,74500,74500,74700,74700,74700,74700,74700,74700,74700,74700,74700,74700
