0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11600,14500,15400,20100,23500,24800,27500,27500,30100,32400,33100,33100,33200,36300,36400,39200,42200,43800,45200,48400,48500,49100,49400,50900,51300,51400,52400,52600,52600,52500,52500,52900,53400,53500,53500,55400,55700,56700,56700,56700,59700,59800,61800,61800,61800,62000,62000,62000,62000,62000,62000,62000,62000,62100,62100,62100,62100,62100,62100,62100,62100,62100,62100,62100,62100,62200,63600,63600,63600,63600,63900,65700,65700,67000,67000,67000,67000,67000,67000,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700
19000,24500,25400,29600,32700,36700,36800,37000,37900,38100,38100,38100,40100,42100,42100,42100,42300,44100,46400,46400,47200,47200,47200,47200,47200,47200,48400,48400,49100,49100,50500,50800,52900,52900,52900,52700,52800,52900,52900,52800,52800,52800,52800,54700,54700,55000,55000,55000,55000,55000,55700,56100,56100,56100,56100,56100,56100,56100,56100,56300,56300,56300,56300,56300,56100,56100,56100,56100,56100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,59500,59500,59500,60600,60600,60900,60900,60900,60900,60900,62400,62400,63400,63400,63400,63400,63400,63400,63500,63500,63500
20200,21800,24900,28400,29700,32200,34100,34400,36200,41300,41200,42400,45300,45300,45300,46900,46900,47100,50700,50700,50700,50700,51400,51400,51400,52200,52300,52300,52300,52300,52300,53800,53800,53800,53800,53800,55200,55200,55200,55200,55200,55200,55200,55200,55200,55600,55600,55600,57600,57600,57600,57600,57600,58100,58300,59300,59300,59700,59700,59700,60300,60300,60300,60300,60300,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600
10600,13700,16500,20300,20800,24400,28500,30700,31800,33800,33800,35600,35900,38200,38200,40200,40200,43100,43700,43700,43700,43800,43800,47400,47400,47900,47900,49300,49400,49400,49400,50300,50900,50900,50900,50900,50900,50900,50900,50900,50900,51200,51200,51300,52200,52200,52100,52400,52400,53900,53900,53900,53900,53900,54000,54000,54000,54000,54000,55000,55000,56200,56200,56200,56200,56200,56200,56200,56200,56200,56200,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58400,59400,59400,59400,59500,59500,59800,60000,62200,62200,62200,64000,64000,64000,64000,64000,65900
16000,24700,31500,35200,35800,36900,37300,42800,44800,45800,45800,45800,46700,46700,47900,48000,48000,48000,48000,48500,48500,50200,51500,51600,51600,51900,51800,55500,55500,55500,55400,57000,57000,57500,57500,57900,57900,58900,58900,58900,60000,61700,61800,61800,61800,61800,61800,64300,64700,64700,64700,64800,65700,65700,65700,65700,65700,67200,67200,67200,67200,67200,67200,67800,67800,67800,67900,67900,67900,67900,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67700,67700,67700,67700,67700,67700,67700,67800,67800,67800,67800,67800,67800,68100,68100,68100,68100,68100,69900
7600,11600,14900,15500,24300,27200,28500,33800,35000,36600,39200,39200,39600,41200,41300,41300,43400,45200,45200,45200,45100,45100,45800,45800,49900,50100,50600,50600,50800,51700,51700,51700,53700,54000,54000,54000,55300,55200,56000,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56900,56900,56800,57800,57900,57900,57900,57900,57900,57900,57900,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58400,58400,58300,58400,59700,59700,59700,59700,59700,60600,62600,62600,64000,64000,65200,65200,65200,65200,65200,65200,65200
18300,20100,25600,25700,27000,30300,31600,31800,34700,34700,36300,38900,39300,41000,42900,43500,43500,43800,45200,45200,45200,46500,46500,46500,46500,46500,46500,46500,47300,47300,47300,47400,49100,49100,51700,54100,54100,54100,54300,54300,54400,54400,54400,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55300,55400,55400,55400,56900,56900,56900,56900,56900,59900,59900,60500,60500,60500,60500,61600,61600,61600,61600,61600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,64400,64400,64400,64400,64400,64400,64400,64400,64500,64500,64500,64500,64500,64500,64500,64500
13000,16100,18800,21600,23400,26700,30000,33100,37300,39100,40400,41400,44400,45100,45100,45100,45000,46300,46300,46400,47900,48000,49300,49200,49300,49200,49800,51300,52600,54600,54600,54900,57100,59000,59100,59100,59100,59100,59100,59100,59100,59100,59100,59200,59300,59200,63300,63900,64800,64800,64800,65400,65400,65400,65900,65900,65900,65900,65900,65900,66100,66100,66100,66100,66100,66100,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66300,67200,67200,67300,67300,67300,67300,67300,67300,67300,67300,67300,69500,69500,69500,69500,69500,69500,69900,69900,69900,69900,69900,69900
12900,16800,22300,24100,25000,29000,30100,32700,32700,35100,36300,36400,36400,38400,39000,39900,40000,43100,43300,43300,45100,45100,45100,45300,47900,49900,49900,49900,49900,53400,53700,55400,55500,56000,56000,56000,56300,56300,57600,59700,59700,59700,59700,59600,59500,59700,59700,59700,59700,59800,60000,60000,60000,60000,60000,60100,60800,63200,63200,63200,65200,65300,67200,67200,67200,67200,68500,68500,68500,68500,68400,68400,68500,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68700,68700,68700,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900
14500,18100,19800,23600,27800,28200,30600,32200,34500,38900,38900,38900,44300,44800,45000,45000,45100,47200,50700,50700,50800,50800,50800,50800,54200,54300,54300,54300,54300,55000,55000,55000,55000,55200,55200,55400,55600,55600,55600,55600,55600,56000,56000,56000,56000,56300,58200,58200,58200,58200,58200,58200,58100,60100,60100,60100,60100,60100,60100,60300,60300,60300,60400,60400,60400,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,62900,62900,62900,62900,62900,62900,62900,63600,63600,63600,63600,63700,63700,63700,63700,63700,63700,63700,63700,64000,64000,64000,64300,64300,64300,64300
